N	2gram	Propp_Isto_5	DiskursI
1	в качестве	7	34
2	не только	13	28
3	в том	6	23
4	а не	2	22
5	том что	8	19
6	может быть	17	17
7	представляет собой	7	17
8	и в	25	16
9	как и	7	16
10	в этом	10	15
11	еще не	8	14
12	но и	13	14
13	прежде всего	6	11
14	но не	5	11
15	и не	11	11
16	с другой	9	10
17	как в	6	10
18	в частности	7	9
19	в нем	7	9
20	отношению к	2	9
21	одной стороны	7	9
22	по отношению	2	9
23	не может	6	9
24	с одной	7	9
25	о том	7	8
26	в его	12	7
27	со стороны	2	7
28	то же	4	7
29	роль в	2	7
30	только в	7	7
31	не в	6	7
32	и как	3	6
33	можно сказать	2	5
34	как бы	2	5
35	в своей	2	5
36	то что	7	5
37	во всех	2	5
38	а в	3	5
39	в себя	3	5
40	и на	8	5
41	в данном	3	5
42	что в	8	4
43	не как	4	4
44	что он	22	4
45	уже не	11	4
46	в истории	4	4
47	в целом	3	4
48	связи с	8	4
49	в особенности	3	4
50	в которых	3	4
51	потому что	7	4
52	могут быть	6	4
53	перед нами	2	3
54	в сказке	18	3
55	того же	2	3
56	это не	6	3
57	по себе	2	3
58	что и	6	3
59	в ее	4	3
60	в свою	3	3
61	с этим	5	3
62	еще в	2	3
63	или на	2	3
64	один из	2	3
65	на смену	4	3
66	все же	10	3
67	из них	2	3
68	таким образом	9	3
69	того что	2	3
70	другой стороны	8	3
71	сказать что	2	3
72	тем что	10	3
73	точки зрения	2	3
74	в то	3	3
75	и потому	2	3
76	из двух	2	2
77	одновременно с	2	2
78	сказки и	2	2
79	по мере	2	2
80	не менее	4	2
81	никогда не	3	2
82	а сам	2	2
83	представления о	3	2
84	и все	3	2
85	к этому	2	2
86	не всегда	4	2
87	ему в	3	2
88	об этом	2	2
89	к его	2	2
90	в пределах	4	2
91	на этом	3	2
92	так например	2	2
93	и требует	3	2
94	более поздних	3	2
95	одним из	2	2
96	о нем	3	2
97	и др	3	2
98	например в	5	2
99	и тем	4	2
100	себя в	6	2
101	когда он	2	2
102	на том	3	2
103	героя и	3	2
104	в различных	2	2
105	в форме	3	2
106	данном случае	2	2
107	в наше	2	2
108	в сказках	2	2
109	уже в	2	2
110	человека в	3	2
111	как мы	5	2
112	и что	8	2
113	том чтобы	2	2
114	и герой	2	2
115	и он	6	2
116	и по	2	2
117	и его	9	2
118	или в	6	2
119	мы имеем	14	2
120	героя в	9	2
121	на себя	3	2
122	и вообще	3	2
123	в этой	3	2
124	ей в	3	2
125	они не	3	2
126	о чем	2	2
127	это было	2	2
