N	2gram	Tiupa_Narr_2	Tvorches
1	и в	13	21
2	как бы	6	17
3	в то	5	15
4	в его	6	13
5	то же	4	13
6	что в	4	12
7	как и	4	12
8	же время	3	12
9	то есть	9	12
10	с его	3	11
11	том что	13	11
12	как в	5	8
13	он не	5	8
14	то что	8	8
15	у него	6	7
16	в свою	2	7
17	в том	14	7
18	тем самым	5	7
19	при этом	14	7
20	не только	26	7
21	и не	14	7
22	но в	6	7
23	он сам	2	6
24	что он	5	6
25	жизни в	6	6
26	и все	4	6
27	не менее	4	6
28	для него	4	6
29	в котором	5	6
30	а в	9	6
31	и его	3	6
32	в этом	13	6
33	о том	5	6
34	отнюдь не	4	5
35	вовсе не	2	5
36	а не	17	5
37	но это	2	5
38	может быть	10	5
39	в этой	4	5
40	все же	6	5
41	таким образом	5	5
42	хотя бы	2	5
43	в своих	2	5
44	потому что	2	5
45	только в	11	5
46	в своем	6	4
47	прежде всего	6	4
48	в мире	4	4
49	времени и	4	4
50	в целом	3	4
51	конечном счете	3	4
52	в конечном	3	4
53	один из	3	4
54	своего рода	9	4
55	в своей	4	4
56	не может	8	4
57	это не	3	4
58	самим собой	3	4
59	не случайно	2	4
60	место в	5	3
61	никогда не	6	3
62	с другой	5	3
63	своих героев	2	3
64	я не	5	3
65	с ним	4	3
66	говорит о	2	3
67	в соответствии	3	3
68	соответствии с	3	3
69	что я	3	3
70	но не	3	3
71	со всеми	2	3
72	в самом	2	3
73	той же	2	3
74	в нем	5	3
75	и т	2	3
76	жизни и	4	3
77	но и	15	3
78	достоевского и	2	3
79	уже не	4	3
80	на самом	2	3
81	того что	6	3
82	и даже	3	3
83	и по	3	3
84	так же	2	3
85	хотя и	5	3
86	в виде	2	3
87	на протяжении	5	3
88	в рассказе	4	3
89	далеко не	5	3
90	представляет собой	16	3
91	в принципе	2	2
92	перед нами	4	2
93	а как	3	2
94	зависит от	2	2
95	в частности	11	2
96	однако в	2	2
97	на том	3	2
98	в качестве	14	2
99	в настоящем	2	2
100	не столько	5	2
101	точно так	2	2
102	в жизни	6	2
103	личности в	2	2
104	в литературе	4	2
105	можно сказать	6	2
106	что и	2	2
107	об этом	4	2
108	не в	8	2
109	себя но	2	2
110	быть может	2	2
111	одна из	3	2
112	мысль о	2	2
113	к тому	9	2
114	только на	2	2
115	не могу	2	2
116	в ней	2	2
117	к ней	3	2
118	и когда	3	2
119	в него	2	2
120	и внутреннего	2	2
121	и тем	5	2
122	тем не	5	2
123	не будет	2	2
124	своего я	2	2
125	во второй	2	2
126	данном случае	6	2
127	жизни с	2	2
128	так и	9	2
129	вслед за	6	2
130	в отличие	5	2
131	как к	3	2
132	для автора	2	2
133	и того	3	2
134	именно в	2	2
135	в себя	4	2
136	что она	2	2
137	самом деле	3	2
138	в направлении	2	2
139	и у	4	2
140	и он	2	2
141	только что	2	2
142	отличие от	5	2
143	ведет к	2	2
144	свидетельствует о	4	2
145	сказать что	3	2
146	но он	2	2
147	в данном	10	2
148	в себе	8	2
149	т п	2	2
150	о котором	3	2
151	героя и	2	2
152	так сказать	3	2
153	в чем	2	2
154	мира в	4	2
