N	2gram	Savitsky_P_1	Vladivir
1	и в	14	31
2	не только	17	24
3	но и	6	19
4	то что	4	18
5	и не	12	17
6	том что	4	14
7	что в	4	14
8	в этом	10	14
9	и с	2	14
10	в его	2	12
11	но в	9	12
12	в том	9	11
13	между прочим	2	11
14	потому что	3	11
15	а в	4	9
16	только в	7	9
17	н н	3	9
18	в то	7	8
19	и и	2	7
20	как раз	2	7
21	м и	2	7
22	и к	4	6
23	в качестве	9	6
24	и потому	4	6
25	может быть	5	6
26	в котором	4	6
27	не может	4	6
28	то же	9	6
29	все это	2	5
30	не в	5	5
31	и если	4	5
32	а также	4	5
33	не было	2	5
34	же время	7	4
35	в своем	4	4
36	в нем	3	4
37	главным образом	2	4
38	для нас	2	4
39	в себе	3	4
40	да и	2	4
41	и как	3	4
42	никак не	2	4
43	хотя и	3	4
44	в россии	3	4
45	в общем	2	3
46	в виде	2	3
47	отнюдь не	2	3
48	с другой	5	3
49	в жизни	2	3
50	но не	3	3
51	тот же	3	3
52	д н	2	3
53	н и	8	3
54	в отношении	10	3
55	и вот	2	3
56	в начале	2	3
57	с тем	3	2
58	не менее	2	2
59	в частности	2	2
60	в них	2	2
61	а н	5	2
62	хотя бы	8	2
63	не столько	2	2
64	в тот	2	2
65	и весьма	2	2
66	е н	5	2
67	м а	2	2
68	тем более	2	2
69	того что	2	2
70	было бы	6	2
71	и мы	2	2
72	и о	5	2
73	суждений о	2	2
74	и т	3	2
75	из них	2	2
76	не будем	2	2
77	со стороны	2	2
78	россии и	4	2
79	и других	2	2
80	тем самым	3	2
81	для того	3	2
82	что мы	3	2
83	как на	2	2
84	с ними	3	2
85	точки зрения	3	2
86	для тех	2	2
87	мы должны	4	2
88	в которую	2	2
89	и это	2	2
90	в полной	2	2
