N	2gram	Berdyaev_N_1	Hudozhes
1	и в	16	28
2	том что	2	19
3	в ее	3	18
4	и не	11	18
5	в том	8	15
6	а не	17	14
7	не в	6	13
8	в этом	7	13
9	о том	4	12
10	как и	7	11
11	не только	5	11
12	уже не	2	10
13	но и	3	9
14	в себе	2	9
15	в жизни	5	8
16	может быть	7	8
17	себя в	2	8
18	так и	2	8
19	я не	2	7
20	жизни в	3	7
21	и все	4	7
22	к тому	3	7
23	в мире	3	7
24	что она	2	7
25	как это	2	7
26	это не	4	6
27	то что	4	6
28	жизни и	8	6
29	в своей	3	6
30	не было	4	6
31	а в	2	6
32	и с	2	6
33	в то	2	6
34	с его	6	5
35	не менее	4	5
36	у него	2	5
37	как в	3	5
38	с ее	5	5
39	что в	9	5
40	она не	3	5
41	наряду с	3	5
42	никогда не	6	5
43	не могла	2	5
44	жизни как	2	5
45	но не	2	4
46	он не	8	4
47	не может	16	4
48	того чтобы	2	4
49	подобно тому	3	4
50	как будто	2	4
51	тому как	3	4
52	все время	2	3
53	в них	4	3
54	с другой	3	3
55	человека и	3	3
56	что все	2	3
57	прежде всего	4	3
58	в нем	5	3
59	еще не	3	3
60	одной стороны	2	3
61	в ней	5	3
62	все они	2	3
63	все это	5	3
64	с одной	2	3
65	так же	2	3
66	личность в	2	3
67	можно было	2	3
68	и на	2	3
69	и это	2	3
70	в основе	3	2
71	жизни не	3	2
72	место в	2	2
73	и от	2	2
74	в духе	3	2
75	же как	2	2
76	одна из	2	2
77	и к	5	2
78	это было	3	2
79	не будет	7	2
80	вместе с	2	2
81	мысли и	2	2
82	и было	2	2
83	лишь в	6	2
84	который в	2	2
85	хотя бы	2	2
86	и для	4	2
87	роль в	2	2
88	сказать что	3	2
89	потому что	4	2
90	не во	4	2
91	но в	2	2
