N	2gram	Vygotskiy__4	FransuaR
1	и в	33	65
2	то есть	13	45
3	как бы	25	22
4	и не	13	22
5	вовсе не	5	18
6	в сущности	6	16
7	в том	21	16
8	в этом	28	15
9	но в	2	14
10	в нем	7	13
11	мы уже	5	12
12	прежде всего	2	11
13	и на	5	11
14	и его	5	10
15	и потому	2	10
16	не только	7	10
17	но и	3	10
18	так и	3	10
19	все эти	6	10
20	в его	10	9
21	во всех	2	9
22	все это	13	9
23	в своем	7	8
24	в основе	3	8
25	всех этих	3	8
26	здесь в	3	8
27	его в	3	7
28	жизни и	4	7
29	точки зрения	6	7
30	только в	4	7
31	никогда не	5	6
32	том что	22	6
33	все же	5	6
34	как мы	4	6
35	времени и	2	6
36	при этом	2	6
37	может быть	22	6
38	в ней	6	6
39	на самом	6	6
40	сказать что	13	6
41	одно из	2	6
42	так как	12	6
43	с его	2	5
44	в одном	3	5
45	в частности	4	5
46	в них	2	5
47	потому что	24	5
48	в своей	4	5
49	связь с	5	5
50	как в	3	5
51	как и	5	5
52	в той	3	5
53	в своих	3	5
54	и все	12	5
55	литературы и	2	5
56	связи с	2	4
57	это в	4	4
58	и к	2	4
59	не в	2	4
60	в этой	9	4
61	совершенно не	4	4
62	в самом	12	4
63	из них	4	4
64	и до	3	4
65	сих пор	3	4
66	до сих	3	4
67	в их	2	4
68	для нас	7	4
69	во время	6	4
70	шекспира и	6	4
71	не понимает	2	4
72	в жизни	4	4
73	мы будем	5	3
74	что в	21	3
75	не является	2	3
76	у шекспира	2	3
77	это не	6	3
78	не просто	4	3
79	в тех	2	3
80	что он	20	3
81	в ее	2	3
82	но все	2	3
83	в самой	6	3
84	самом деле	12	3
85	и эта	2	3
86	о нем	4	3
87	даже в	2	3
88	с точки	4	3
89	то что	44	3
90	как раз	9	3
91	взглянуть на	2	3
92	не может	10	3
93	и других	4	3
94	во всей	3	3
95	с другой	2	3
96	по ходу	2	3
97	в себе	6	3
98	в искусстве	2	3
99	далеко не	3	3
100	и здесь	3	3
101	с ним	5	3
102	ничего не	2	3
103	и с	2	3
104	в виду	2	3
105	но не	3	2
106	к тому	12	2
107	но вся	2	2
108	и от	2	2
109	из этих	2	2
110	на все	2	2
111	с конца	2	2
112	можно сказать	2	2
113	и так	4	2
114	так например	4	2
115	нам придется	3	2
116	нам кажется	2	2
117	да и	3	2
118	мы видим	6	2
119	это время	2	2
120	до конца	7	2
121	одной стороны	3	2
122	в это	2	2
123	и он	3	2
124	например в	3	2
125	некоторые из	2	2
126	он не	11	2
127	и для	3	2
128	в целом	5	2
129	и именно	2	2
130	на него	4	2
131	с одной	3	2
132	не для	3	2
133	понятно что	3	2
134	и вот	6	2
135	того что	4	2
136	что не	4	2
137	при таком	3	2
138	что мы	6	2
139	и наконец	2	2
140	на этот	3	2
141	есть только	2	2
142	в таком	4	2
143	образом в	2	2
144	этот вопрос	4	2
145	их в	3	2
146	еще раз	3	2
147	во всем	2	2
148	ни на	2	2
149	о том	20	2
150	и это	5	2
151	это было	4	2
