N	2gram	Voloshinov_1	Russkaja
1	не может	8	22
2	и не	8	19
3	в том	2	17
4	в этом	2	17
5	и в	13	14
6	то что	6	13
7	таким образом	6	11
8	то же	4	11
9	точки зрения	7	11
10	но и	3	10
11	том что	2	9
12	не только	6	9
13	в себе	3	9
14	с точки	5	9
15	может быть	8	9
16	прежде всего	9	8
17	к тому	2	7
18	самом деле	3	7
19	в данном	2	7
20	мы должны	6	7
21	если бы	2	6
22	и к	2	6
23	и при	2	6
24	для него	2	6
25	все это	4	6
26	и для	3	6
27	в своих	2	6
28	хотя бы	5	5
29	при этом	2	5
30	было бы	4	5
31	в своей	4	5
32	никогда не	3	5
33	в нем	2	5
34	а в	2	5
35	только в	6	5
36	между тем	2	5
37	что в	3	4
38	как и	3	4
39	как бы	6	4
40	все же	5	4
41	что же	3	4
42	в их	3	4
43	точку зрения	3	4
44	не в	3	4
45	и то	3	4
46	во всем	2	4
47	в его	7	4
48	и т.д	5	4
49	так как	3	4
50	да и	3	3
51	в другом	2	3
52	лишь в	4	3
53	что они	2	3
54	несмотря на	2	3
55	в самом	2	3
56	и этот	2	3
57	но мы	4	3
58	данном случае	2	3
59	вряд ли	3	3
60	тем что	2	3
61	говорить о	3	3
62	в сознании	4	3
63	пути к	2	2
64	с этим	3	2
65	вне всякой	2	2
66	или иного	2	2
67	разумеется что	2	2
68	но для	3	2
69	в ней	2	2
70	и является	2	2
71	для себя	2	2
72	и тем	2	2
73	ее в	2	2
74	по отношению	3	2
75	в течение	2	2
76	все эти	2	2
77	а не	2	2
78	и наконец	5	2
79	так же	2	2
80	мы можем	4	2
81	мы уже	2	2
82	того или	2	2
83	и должно	2	2
84	в области	2	2
85	но в	4	2
