N	2gram	Medvedev_U_1	OGranits
1	и в	14	13
2	прежде всего	8	9
3	не может	7	8
4	и не	8	8
5	может быть	6	8
6	в его	2	7
7	таким образом	2	6
8	не только	10	6
9	стилистических приемов	5	6
10	то что	7	6
11	только в	2	6
12	художественного произведения	2	5
13	все же	3	5
14	хотя бы	5	5
15	и т.д	3	5
16	эстетического объекта	6	5
17	то же	5	4
18	в своей	3	4
19	вопроса о	2	4
20	все это	5	4
21	мы не	2	4
22	было бы	3	4
23	но в	3	4
24	но и	4	3
25	материала и	2	3
26	в их	4	3
27	вряд ли	3	3
28	не как	3	3
29	превращается в	2	3
30	самом деле	2	3
31	как и	3	3
32	не в	2	3
33	и то	3	3
34	не столько	2	3
35	в себе	2	3
36	в искусстве	6	3
37	и для	2	3
38	а как	2	2
39	а не	10	2
40	художественное произведение	5	2
41	в шкловского	2	2
42	другой стороны	3	2
43	с другой	4	2
44	истории литературы	3	2
45	художественных произведений	2	2
46	формальный метод	11	2
47	если бы	2	2
48	в том	2	2
49	том что	2	2
50	в этом	7	2
51	тем что	2	2
52	между тем	2	2
53	могут быть	2	2
54	к сожалению	3	2
55	для него	3	2
56	в области	3	2
57	в самом	2	2
58	и является	2	2
