N	2gram	Bakhtin_KF_1	Hudozhes
1	том что	4	16
2	и в	24	14
3	так и	2	13
4	а не	17	12
5	в том	6	12
6	не только	5	12
7	при этом	4	12
8	о том	3	12
9	прежде всего	2	11
10	в этом	14	11
11	в себе	21	11
12	для него	8	10
13	в своей	10	10
14	что он	2	9
15	как и	5	9
16	в качестве	2	9
17	то же	5	9
18	как в	2	8
19	то что	7	8
20	же время	2	8
21	отношению к	22	8
22	по отношению	26	8
23	между тем	4	8
24	в этой	2	8
25	в то	3	8
26	в его	40	8
27	ничего не	3	8
28	это не	10	7
29	уже не	7	7
30	не в	12	7
31	еще не	4	7
32	как бы	9	7
33	не может	27	7
34	именно в	5	7
35	а в	4	7
36	никогда не	5	6
37	что в	4	6
38	было бы	8	6
39	жизни в	5	6
40	не менее	3	5
41	к себе	2	5
42	может быть	45	5
43	только в	16	5
44	но и	9	5
45	жизни и	8	5
46	самом деле	3	5
47	и его	17	5
48	потому что	2	5
49	ни в	12	5
50	точки зрения	12	5
51	но в	5	5
52	тому что	2	4
53	в своем	16	4
54	та же	2	4
55	и все	7	4
56	бытия и	10	4
57	тем не	2	4
58	в ней	3	4
59	один из	2	4
60	себя в	8	4
61	не было	8	4
62	того что	3	4
63	он не	6	4
64	и это	12	4
65	с ним	5	4
66	но не	12	3
67	если бы	8	3
68	отнюдь не	6	3
69	в мире	6	3
70	в ее	16	3
71	как его	4	3
72	говорить о	2	3
73	от него	3	3
74	по своему	3	3
75	и когда	2	3
76	о нем	4	3
77	для себя	5	3
78	в нем	28	3
79	все же	5	3
80	со стороны	7	3
81	и для	9	3
82	все эти	10	3
83	лишь в	8	3
84	того чтобы	2	3
85	с точки	9	3
86	в своих	3	3
87	тем что	3	3
88	и на	3	3
89	как к	2	3
90	его в	5	3
91	едва ли	2	3
92	ни к	2	2
93	себя и	2	2
94	и потому	2	2
95	в себя	7	2
96	ясно что	3	2
97	вопрос о	2	2
98	или иного	3	2
99	по себе	2	2
100	не нужно	2	2
101	в другом	3	2
102	этот момент	6	2
103	мышления как	2	2
104	в целом	10	2
105	до конца	3	2
106	ближе к	3	2
107	себе и	3	2
108	в него	2	2
109	для нее	7	2
110	его жизни	3	2
111	и смысловой	2	2
112	в их	8	2
113	все это	10	2
114	дело здесь	2	2
115	мышления и	2	2
116	а с	2	2
117	не знает	5	2
118	и не	26	2
119	на самом	3	2
120	от себя	10	2
121	что не	3	2
122	того или	3	2
123	не имеет	5	2
124	жизни как	5	2
125	должно быть	6	2
126	в это	2	2
127	слово не	3	2
128	на основе	7	2
129	с ними	3	2
130	не о	2	2
131	с ее	2	2
132	что я	5	2
133	слова в	2	2
134	отсюда и	3	2
135	но как	5	2
136	здесь не	3	2
137	я и	2	2
138	мы не	3	2
