N	2gram	Tiupa_Teor_1	Problemy
1	и в	18	35
2	как бы	5	31
3	и не	13	27
4	в его	6	21
5	но в	9	19
6	не может	4	18
7	как и	4	18
8	о себе	2	17
9	в нем	4	16
10	то есть	12	16
11	то же	7	15
12	но и	9	14
13	для него	2	14
14	может быть	17	14
15	все это	2	14
16	и его	8	14
17	в этом	8	14
18	он не	3	13
19	прежде всего	2	12
20	и к	3	12
21	в другом	3	12
22	в пределах	5	11
23	в то	6	11
24	не в	7	10
25	же время	5	10
26	не только	16	10
27	то что	3	10
28	героя и	5	10
29	в отношении	3	9
30	самим собою	2	9
31	я не	2	8
32	так и	10	8
33	потому что	3	8
34	и для	2	8
35	лишь в	6	7
36	так же	2	7
37	а в	13	7
38	самим собой	3	7
39	точки зрения	9	7
40	с его	5	7
41	вовсе не	3	7
42	еще не	4	7
43	отношению к	4	7
44	отношении к	2	7
45	таким образом	3	7
46	слова в	2	6
47	что в	9	6
48	к тому	2	6
49	и что	3	6
50	отношение к	5	6
51	в самом	4	6
52	не знает	3	6
53	в одном	2	6
54	но не	9	6
55	и т.п	4	6
56	в слове	3	6
57	по отношению	4	6
58	на меня	3	6
59	только в	6	6
60	в конце	2	5
61	в том	16	5
62	в глаза	2	5
63	как к	2	5
64	от себя	3	5
65	и даже	2	5
66	этого слова	3	5
67	даже в	3	5
68	как в	5	5
69	внутренней речи	13	5
70	и то	2	5
71	в себе	9	5
72	и это	2	5
73	никогда не	4	4
74	с другой	7	4
75	или иной	4	4
76	в мире	19	4
77	и вот	3	4
78	между тем	5	4
79	но он	3	4
80	его в	2	4
81	как раз	2	4
82	в них	2	4
83	по своему	2	4
84	в своей	6	4
85	в той	2	4
86	а не	9	4
87	я в	16	4
88	как будто	2	4
89	в повести	2	3
90	в виду	5	3
91	с ее	3	3
92	в целом	3	3
93	другой стороны	5	3
94	в форме	2	3
95	я как	2	3
96	все эти	2	3
97	того что	4	3
98	это не	2	3
99	сказать что	3	3
100	говорить о	3	3
101	в диалоге	2	3
102	человека с	2	3
103	этом смысле	2	3
104	в ее	5	3
105	том что	9	3
106	за пределы	2	3
107	что и	2	3
108	а с	3	3
109	сводится к	5	3
110	уже не	4	3
111	и т.д	3	3
112	не менее	4	2
113	времени и	2	2
114	в душе	8	2
115	внутренний голос	2	2
116	ни был	2	2
117	в этих	3	2
118	тому что	2	2
119	столь же	2	2
120	ни в	2	2
121	в большинстве	2	2
122	при этом	12	2
123	совпадает с	3	2
124	хотя и	3	2
125	мог бы	3	2
126	в своем	4	2
127	и по	2	2
128	их в	3	2
129	по своей	3	2
130	в первом	2	2
131	в произведении	3	2
132	герой не	3	2
133	я и	2	2
134	мире и	2	2
135	обращается к	2	2
136	однако в	7	2
137	в жизни	2	2
138	этих двух	2	2
139	и того	3	2
140	то в	2	2
141	слове о	2	2
142	одной из	2	2
143	в произведениях	2	2
144	себя в	6	2
145	своего рода	7	2
146	вместе с	2	2
147	быть и	2	2
148	приводит к	5	2
149	так в	4	2
150	в отличие	6	2
151	и как	2	2
152	с точки	3	2
153	в которой	2	2
154	без исключения	4	2
155	или в	3	2
156	с другими	5	2
157	в рассказе	2	2
158	не случайно	5	2
159	между двумя	3	2
160	передо мной	2	2
161	отличие от	6	2
162	это было	2	2
