N	2gram	Nazirov_Vr_1	Problema
1	и в	8	44
2	и не	5	35
3	может быть	4	28
4	то что	7	23
5	в том	3	21
6	в этом	8	17
7	для нас	4	16
8	и даже	6	14
9	не только	9	14
10	и то	2	14
11	то же	5	13
12	но в	6	12
13	том что	3	12
14	не менее	2	10
15	но и	7	10
16	в виду	4	10
17	отнюдь не	2	10
18	как и	6	10
19	это не	4	9
20	в нем	6	9
21	и с	6	9
22	как бы	4	9
23	что он	4	9
24	в то	5	9
25	в его	3	9
26	и это	2	9
27	таким образом	2	9
28	что в	7	8
29	при помощи	2	8
30	но это	2	8
31	он не	3	8
32	как раз	2	8
33	в себе	2	8
34	связи с	3	8
35	не может	2	7
36	в связи	3	7
37	уже не	2	7
38	и что	8	7
39	с ним	4	7
40	никогда не	2	6
41	о том	4	6
42	все же	6	6
43	не было	5	5
44	в конце	3	5
45	в ней	4	5
46	все это	4	5
47	в своем	3	5
48	а в	2	5
49	точки зрения	2	5
50	еще не	2	5
51	и о	3	5
52	в своей	2	5
53	так же	4	5
54	и его	3	5
55	он сам	2	4
56	при этом	4	4
57	но как	2	4
58	на первый	2	4
59	а также	2	4
60	в чем	3	4
61	тем что	3	4
62	уже в	4	3
63	же как	2	3
64	что у	3	3
65	на то	3	3
66	и как	3	3
67	в этой	2	3
68	для него	2	3
69	отношения к	2	3
70	его в	3	3
71	об этом	5	3
72	же в	2	3
73	тем более	2	3
74	и все	7	3
75	в той	2	3
76	и ее	2	3
77	в известном	2	2
78	время и	2	2
79	в нашей	2	2
80	о чем	2	2
81	у тургенева	11	2
82	в котором	6	2
83	из них	2	2
84	по мнению	2	2
85	в начале	6	2
86	это в	2	2
87	и во	3	2
88	с нею	2	2
89	вместе с	2	2
90	а с	2	2
91	и у	3	2
92	с точки	2	2
93	эти слова	3	2
94	же не	2	2
