N	2gram	Bakhtin_Fr_6	StatiiOP
1	и в	41	29
2	том что	7	27
3	в том	2	27
4	в этом	12	21
5	но и	13	19
6	что в	7	19
7	не только	10	19
8	о том	9	17
9	что он	6	13
10	в его	7	13
11	то что	10	11
12	все это	11	11
13	таким образом	17	10
14	в своем	5	9
15	так и	5	9
16	этом отношении	3	9
17	и не	3	9
18	потому что	3	9
19	он не	2	9
20	как раз	2	8
21	но в	8	8
22	в самом	10	7
23	в ней	4	7
24	в котором	4	7
25	в своей	2	7
26	вместе с	6	7
27	в одном	5	6
28	вовсе не	7	6
29	до сих	3	6
30	одним из	4	6
31	все же	4	6
32	и что	5	6
33	того чтобы	4	6
34	и его	13	6
35	и на	9	6
36	прежде всего	10	5
37	в той	5	5
38	было бы	3	5
39	как бы	7	5
40	сих пор	3	5
41	а не	2	5
42	того что	3	5
43	между тем	2	5
44	точки зрения	2	5
45	времени и	2	4
46	до того	3	4
47	именно в	4	4
48	в частности	2	4
49	с другой	4	4
50	но с	2	4
51	того времени	2	4
52	в романе	2	4
53	не в	4	4
54	кроме того	9	4
55	если б	2	4
56	хотя и	2	4
57	в нем	16	4
58	внимание на	2	4
59	еще более	2	4
60	в другом	4	4
61	связи с	2	4
62	и с	16	4
63	своего времени	2	4
64	не был	2	3
65	что это	5	3
66	в этих	2	3
67	но он	5	3
68	с этим	3	3
69	в образе	6	3
70	не мог	3	3
71	у нас	4	3
72	так что	2	3
73	но это	3	3
74	в начале	3	3
75	как у	3	3
76	но не	2	3
77	до конца	2	3
78	кажется что	2	3
79	одной из	3	3
80	например в	6	3
81	никогда не	8	3
82	и даже	4	3
83	из них	5	3
84	другой стороны	2	3
85	самом деле	4	3
86	подчеркнуть что	5	3
87	как в	4	3
88	тем что	5	3
89	в году	6	3
90	и сейчас	2	3
91	и он	5	3
92	так же	5	3
93	в эту	2	3
94	сцены в	3	2
95	но они	4	2
96	во время	9	2
97	отрывок из	2	2
98	с его	5	2
99	и другие	2	2
100	борьба с	4	2
101	и др	10	2
102	борьбу с	2	2
103	в них	7	2
104	или с	2	2
105	с этой	3	2
106	в одной	3	2
107	в конце	2	2
108	в духе	3	2
109	конечно в	2	2
110	что именно	2	2
111	этого образа	2	2
112	он был	4	2
113	в ее	5	2
114	нас не	3	2
115	а затем	4	2
116	как и	7	2
117	и как	4	2
118	в этой	8	2
119	другом месте	4	2
120	что они	2	2
121	в истории	2	2
122	в то	6	2
123	как известно	2	2
124	и сам	3	2
125	раз в	2	2
126	на его	2	2
127	может быть	2	2
128	которая была	2	2
129	никак не	3	2
130	и потому	2	2
131	а также	5	2
132	еще в	5	2
133	даже в	4	2
134	только в	3	2
135	также и	6	2
136	не на	2	2
137	и самый	3	2
138	не может	4	2
139	в особенности	7	2
140	то же	5	2
141	все эти	11	2
142	при этом	3	2
143	там где	5	2
144	они не	3	2
145	в значительной	2	2
146	с точки	2	2
147	и те	2	2
148	в данном	3	2
149	конечно и	4	2
150	в результате	4	2
151	сказать что	6	2
152	в себе	5	2
153	и вообще	4	2
154	как он	2	2
155	так как	10	2
156	только с	3	2
157	как это	2	2
158	того же	4	2
159	отметить что	2	2
160	в области	2	2
161	это было	2	2
