N	4gram	Tiupa_Hudo_1	TeoriaLi
1	в то же время	5	6
2	присутствия я в мире	4	5
3	состоит в том что	4	3
4	читателя в читателя концепированного	2	2
5	он тем не менее	2	2
6	в войне и мире	2	2
7	объективной предпосылкой эстетического отношения	2	2
8	расположилось в порядке образующем	2	2
9	стихотворении пушкина что в	2	2
10	во всех подобных случаях	2	2
11	и не могло быть	2	2
12	того или иного жанра	2	2
13	превращения реального читателя в	2	2
14	процесс превращения реального читателя	2	2
15	эстетическое отношение представляет собой	2	2
16	в слове о полку	2	2
17	не следует смешивать с	3	2
18	все расположилось в порядке	2	2
19	слове о полку игореве	2	2
20	по отношению к герою	2	2
21	одного и того же	2	2
22	что в имени тебе	2	2
23	одно и то же	3	2
24	пушкина что в имени	2	2
25	как элемента эстетической реальности	2	2
26	в отношении обратного параллелизма	2	2
27	сближение но не слияние	2	2
28	реального читателя в читателя	2	2
