N	2gram	Berdyaev_M_2	Psycholo
1	то что	5	32
2	и в	46	31
3	в том	3	30
4	что в	4	23
5	может быть	21	22
6	так как	8	18
7	не может	15	17
8	как и	13	16
9	том что	4	16
10	и не	18	16
11	точки зрения	2	15
12	только в	3	14
13	а не	13	13
14	не только	18	13
15	что и	4	13
16	так же	6	12
17	в этом	20	12
18	в самом	5	11
19	с таким	2	11
20	не в	9	11
21	в сущности	2	10
22	того что	6	10
23	потому что	12	10
24	по себе	2	9
25	ни в	3	9
26	как в	7	9
27	никогда не	18	8
28	вместе с	2	8
29	и что	2	8
30	что он	7	7
31	есть в	3	7
32	и его	5	7
33	того чтобы	4	7
34	тому как	2	7
35	сказать что	3	7
36	о том	3	7
37	что это	6	6
38	до конца	4	6
39	если бы	3	6
40	а в	2	6
41	что она	5	6
42	для того	5	6
43	в его	5	6
44	и есть	8	5
45	и все	5	5
46	тогда когда	2	5
47	так что	2	5
48	мы видим	2	5
49	она не	8	5
50	говорит что	2	5
51	как бы	8	5
52	и для	7	5
53	то же	5	5
54	это есть	2	5
55	подобно тому	2	5
56	как будто	2	5
57	к тому	5	4
58	в которой	2	4
59	все время	2	4
60	прежде всего	12	4
61	тому что	4	4
62	одной и	2	4
63	в себе	10	4
64	же как	3	4
65	мы увидим	2	4
66	у него	22	4
67	и если	2	4
68	у нас	11	4
69	один из	5	4
70	в этих	2	4
71	те же	5	4
72	в своих	3	4
73	между тем	2	4
74	уже в	2	3
75	совсем не	5	3
76	в своем	8	3
77	что у	4	3
78	та же	10	3
79	что все	5	3
80	в каждом	3	3
81	вопрос о	6	3
82	и к	7	3
83	мысль что	4	3
84	это и	3	3
85	но это	8	3
86	не будет	3	3
87	все что	4	3
88	смысле слова	3	3
89	до сих	3	3
90	в этой	7	3
91	хотя и	2	3
92	он не	10	3
93	сих пор	3	3
94	не есть	13	3
95	человека не	4	3
96	жизни и	6	3
97	в своей	5	3
98	и той	2	3
99	так и	4	3
100	не было	11	3
101	и других	2	3
102	от того	3	3
103	и вот	5	3
104	должны быть	4	3
105	той же	3	3
106	во всем	5	3
107	в конце	5	3
108	и это	5	3
109	это все	2	3
110	на деле	4	3
111	но в	10	3
112	т е	4	3
113	в основе	2	2
114	не существует	3	2
115	тот кто	5	2
116	можно ли	3	2
117	и там	6	2
118	природа человека	3	2
119	в них	3	2
120	не означает	2	2
121	и во	3	2
122	и от	3	2
123	человека и	7	2
124	в жизни	4	2
125	ее и	2	2
126	не всегда	2	2
127	в такой	3	2
128	с ним	3	2
129	и здесь	6	2
130	есть не	5	2
131	уже не	4	2
132	есть ли	2	2
133	этого вопроса	2	2
134	и потому	7	2
135	себя и	3	2
136	что они	3	2
137	такой степени	2	2
138	тот же	2	2
139	и тот	2	2
140	означает что	4	2
141	на почве	3	2
142	в нем	22	2
143	отношение к	8	2
144	но и	15	2
145	что же	2	2
146	и тогда	3	2
147	что есть	2	2
148	он же	3	2
149	к чему	4	2
150	к нему	2	2
151	его не	2	2
152	увидим что	2	2
153	принадлежат к	3	2
154	в чем	3	2
155	ничего не	2	2
156	нас в	2	2
157	образ и	5	2
158	в русском	4	2
159	как к	2	2
160	и с	3	2
161	приходит к	2	2
162	бы и	5	2
163	бы в	2	2
164	его в	3	2
165	как он	3	2
166	и поэтому	2	2
