N	2gram	Tiupa_Lite_1	Myslijsy
1	потому что	3	49
2	то есть	6	30
3	и в	8	24
4	в душе	3	23
5	может быть	13	23
6	в сознании	2	23
7	то что	10	20
8	и не	12	19
9	а не	16	18
10	в том	16	18
11	что в	3	16
12	не только	24	15
13	того же	2	14
14	при этом	19	13
15	было бы	2	13
16	не в	8	13
17	в слове	2	13
18	но не	4	12
19	не может	5	12
20	то же	5	12
21	только в	8	11
22	таким образом	3	11
23	для него	2	10
24	в сознание	3	10
25	в себе	7	10
26	как в	5	10
27	тогда как	13	10
28	в нем	2	9
29	как бы	7	9
30	но и	17	9
31	то и	2	9
32	а только	2	8
33	а в	3	8
34	том что	14	8
35	в этом	12	8
36	могут быть	2	8
37	прежде всего	11	7
38	во всяком	3	7
39	всяком случае	2	7
40	как и	6	7
41	того что	6	7
42	тем что	2	7
43	связи с	6	6
44	с другой	3	6
45	не есть	2	6
46	и того	2	6
47	по поводу	2	6
48	тем не	2	6
49	не было	3	6
50	между тем	2	6
51	в то	5	6
52	и только	2	6
53	уже в	5	5
54	не менее	7	5
55	столь же	4	5
56	же в	5	5
57	что не	2	5
58	о том	2	5
59	так и	4	5
60	бы не	3	5
61	а потому	2	5
62	из них	4	5
63	все же	4	5
64	никогда не	4	4
65	из этих	2	4
66	что он	5	4
67	уже не	7	4
68	одна из	3	4
69	еще не	4	4
70	в самом	3	4
71	с одной	2	4
72	тем самым	5	4
73	тому как	2	4
74	подобно тому	2	4
75	к общему	2	4
76	как он	2	4
77	но в	3	4
78	с чем	2	3
79	это не	4	3
80	не как	4	3
81	человека и	2	3
82	то это	2	3
83	одной стороны	2	3
84	мы в	2	3
85	например в	3	3
86	относится к	2	3
87	его в	3	3
88	и тем	4	3
89	в целом	8	3
90	себе в	2	3
91	со стороны	4	3
92	что его	3	3
93	тем же	3	3
94	той же	3	3
95	что для	2	3
96	во многих	2	3
97	и то	2	3
98	одно из	3	3
99	далеко не	3	3
100	этого не	2	2
101	и есть	3	2
102	перестает быть	4	2
103	и его	4	2
104	превращается в	2	2
105	хотя бы	2	2
106	не столько	5	2
107	в жизни	6	2
108	состоит в	11	2
109	с его	5	2
110	за пределы	2	2
111	все эти	2	2
112	что ему	3	2
113	у него	3	2
114	же время	5	2
115	в формах	4	2
116	в нашей	2	2
117	общего с	2	2
118	как совокупность	3	2
119	в его	7	2
120	для нее	2	2
121	один из	3	2
122	в связи	4	2
123	в себя	2	2
124	от себя	2	2
125	самом деле	2	2
126	что такое	2	2
127	друг друга	4	2
128	как это	8	2
129	по отношению	3	2
130	не на	2	2
131	отношения между	2	2
132	в другом	2	2
133	на этом	2	2
134	от сознания	2	2
