N	3gram	Bakhtin_sl_2	Vvedenie
1	и т д	2	36
2	для того чтобы	2	20
3	в том что	4	12
4	не может быть	15	8
5	то же время	4	6
6	в то же	4	6
7	до сих пор	2	6
8	и т п	33	5
9	и в особенности	2	4
10	не только в	2	4
11	с одной стороны	5	4
12	в этом случае	6	4
13	в этом отношении	3	4
14	во всяком случае	2	4
15	по отношению к	4	4
16	одной стороны и	3	3
17	в собственном смысле	3	3
18	но в то	3	3
19	сама по себе	3	3
20	но все же	4	3
21	той или иной	5	2
22	а также и	2	2
23	с точки зрения	3	2
24	не могут быть	2	2
25	хотя бы и	2	2
26	в связи с	2	2
27	может быть и	2	2
28	как мы уже	2	2
