N	3gram	Tiupa_Disk_1	Narrotol
1	в данном случае	2	8
2	не только в	2	6
3	в том что	13	5
4	к тому же	4	5
5	то же время	4	4
6	той или иной	3	4
7	в соответствии с	2	4
8	не может быть	3	4
9	в то же	3	4
10	свидетель и судия	2	3
11	подобно тому как	2	3
12	по отношению к	9	3
13	действующее лицо события	2	2
14	сами по себе	2	2
15	в отличие от	4	2
16	можно сказать что	2	2
17	события свидетель и	2	2
18	состоит в том	2	2
19	событие самого рассказывания	2	2
20	главное действующее лицо	2	2
21	мы имеем дело	2	2
22	в свою очередь	3	2
23	о том что	5	2
24	не сводится к	2	2
25	то же самое	2	2
26	лицо события свидетель	2	2
