N	2gram	Nazirov_Vr_1	Poddanst
1	не только	9	17
2	и в	8	14
3	и не	5	12
4	в этом	8	10
5	то же	5	9
6	в том	3	9
7	но в	6	9
8	же время	5	7
9	в то	5	7
10	но и	7	6
11	в ней	4	6
12	а н	2	5
13	россии в	2	5
14	и о	3	5
15	может быть	4	5
16	же в	2	4
17	в котором	6	4
18	то что	7	4
19	что в	7	4
20	в своем	3	4
21	не может	2	4
22	а в	2	4
23	том что	3	4
24	в русской	3	4
25	а также	2	4
26	как бы	4	4
27	в нем	6	3
28	в россии	5	3
29	столь же	2	3
30	это не	4	3
31	т е	3	3
32	с точки	2	3
33	и как	3	3
34	между тем	5	3
35	точки зрения	2	3
36	в себе	2	3
37	наряду с	3	3
38	не менее	2	2
39	в мире	2	2
40	отнюдь не	2	2
41	тем более	2	2
42	в них	2	2
43	все это	4	2
44	как раз	2	2
45	и достоевского	9	2
46	отношения к	2	2
47	для нас	4	2
48	и дети	2	2
49	одна из	2	2
50	не было	5	2
51	в начале	6	2
52	из них	2	2
53	и это	2	2
54	в эту	2	2
55	в его	3	2
56	и с	6	2
