N	3gram	Tiupa_Hudo_2	Psycholo
1	в том что	11	17
2	для того чтобы	3	13
3	в самом деле	3	11
4	с точки зрения	2	10
5	не может быть	3	8
6	и т п	2	8
7	то же самое	2	6
8	до сих пор	2	5
9	только в том	2	4
10	в данном случае	2	4
11	так же как	2	4
12	о том что	7	4
13	можно было бы	2	4
14	тем не менее	3	4
15	том что она	2	3
16	в конечном счете	3	3
17	то же время	4	2
18	же самое что	2	2
19	к тому что	4	2
20	как и в	3	2
21	состоит в том	2	2
22	том что в	3	2
23	подобно тому как	4	2
24	в то же	4	2
25	и т д	2	2
26	того или иного	2	2
