N	2gram	Losev_Dial_2	Morfolog
1	может быть	20	52
2	и т	17	49
3	т д	15	47
4	и пр	5	40
5	таким образом	4	20
6	не может	9	17
7	т е	30	16
8	в этих	3	16
9	могут быть	4	15
10	с этим	3	14
11	и в	19	13
12	в этом	8	13
13	так как	14	12
14	перед нами	2	11
15	мы видим	2	11
16	связи с	4	11
17	прежде всего	8	9
18	так и	10	9
19	в связи	4	9
20	то же	12	9
21	и не	30	9
22	а не	16	9
23	мы имеем	3	9
24	с другой	5	8
25	что и	5	8
26	в результате	2	8
27	вопрос о	3	7
28	в тех	2	7
29	все же	4	7
30	это не	10	6
31	не могут	4	6
32	в том	14	6
33	но не	6	6
34	а в	4	6
35	во время	2	6
36	не менее	3	5
37	если мы	2	5
38	во всех	2	5
39	как бы	14	5
40	то что	14	5
41	или в	2	5
42	потому что	14	5
43	что в	7	4
44	и как	10	4
45	вовсе не	13	4
46	об этом	3	4
47	тем не	2	4
48	было бы	3	4
49	на его	2	4
50	несмотря на	2	4
51	не только	19	4
52	то это	2	4
53	в некоторых	2	4
54	как в	2	4
55	как мы	3	4
56	другой стороны	4	4
57	так же	2	4
58	как и	10	4
59	тем что	2	4
60	точки зрения	12	4
61	с точки	8	4
62	на этом	2	4
63	также и	2	4
64	его в	3	4
65	если в	2	4
66	ничего не	3	4
67	только что	5	3
68	связана с	2	3
69	независимо от	4	3
70	это уже	2	3
71	в какой	2	3
72	же в	2	3
73	том что	10	3
74	но все	2	3
75	но это	7	3
76	что они	6	3
77	кроме того	3	3
78	в сущности	2	3
79	может существовать	3	3
80	он не	4	3
81	по воздуху	3	3
82	ни в	10	3
83	но и	12	3
84	на него	2	3
85	от того	4	3
86	на самом	2	3
87	самом деле	4	3
88	и по	4	3
89	к нему	4	3
90	из них	3	3
91	в то	6	3
92	мы должны	2	3
93	в один	3	3
94	но в	2	3
95	значит что	12	3
96	если она	2	2
97	и более	3	2
98	с тем	2	2
99	в виде	2	2
100	в частности	2	2
101	хотя бы	4	2
102	та же	4	2
103	сразу же	3	2
104	что он	6	2
105	имеется в	2	2
106	можно сказать	5	2
107	и к	7	2
108	и при	2	2
109	только в	5	2
110	есть и	6	2
111	то время	4	2
112	момент в	2	2
113	мы уже	8	2
114	или на	2	2
115	не значит	3	2
116	себя в	2	2
117	существовать без	2	2
118	то как	3	2
119	быть и	4	2
120	или менее	2	2
121	может не	4	2
122	есть нечто	8	2
123	и тогда	3	2
124	и только	4	2
125	с одной	2	2
126	все эти	2	2
127	и что	5	2
128	того что	6	2
129	что такое	3	2
130	уже не	3	2
131	тем же	2	2
132	и его	5	2
133	живое существо	2	2
134	в каком	4	2
135	мы получаем	2	2
136	в другом	4	2
137	или не	2	2
138	что мы	2	2
139	или по	2	2
140	или нет	3	2
141	но вот	2	2
142	о том	5	2
143	что эти	2	2
144	ясно что	4	2
145	сказать что	10	2
146	как это	7	2
147	более или	2	2
148	живой и	2	2
149	время как	7	2
150	это было	3	2
