N	2gram	Bakhtin_sl_1	formyVre
1	и в	41	50
2	то есть	26	33
3	в романе	21	32
4	в этом	12	25
5	в нем	30	24
6	и его	14	16
7	прежде всего	8	15
8	и не	16	14
9	как мы	8	14
10	вовсе не	7	13
11	как раз	2	13
12	в его	13	13
13	по существу	3	12
14	так и	11	12
15	может быть	14	11
16	таким образом	9	11
17	мы уже	2	11
18	то же	14	11
19	но в	8	10
20	в том	3	9
21	же время	12	9
22	и др	14	9
23	в особенности	8	9
24	все эти	9	9
25	в других	3	9
26	в то	14	9
27	не только	16	9
28	с его	4	9
29	роль в	2	9
30	ничего не	4	9
31	в самом	5	8
32	и т	28	8
33	но и	16	8
34	и на	14	8
35	как и	4	8
36	того же	6	8
37	т п	23	8
38	не было	3	7
39	и во	3	7
40	в условиях	2	7
41	так сказать	5	7
42	все же	7	6
43	в частности	2	6
44	это не	6	6
45	например в	2	6
46	с ее	4	6
47	в их	4	6
48	не может	14	6
49	лишь в	4	6
50	так же	2	6
51	в результате	3	6
52	так как	3	6
53	у него	3	6
54	с этим	3	6
55	и все	4	6
56	связи с	2	6
57	во всех	17	6
58	в ее	2	6
59	как в	8	6
60	не в	7	5
61	в пределах	14	5
62	в разных	3	5
63	время как	2	5
64	в основе	5	5
65	точки зрения	16	5
66	всех этих	4	5
67	романа в	3	5
68	но не	2	5
69	еще не	4	5
70	он не	3	5
71	в основном	3	5
72	не могло	3	5
73	и речи	2	5
74	для того	2	5
75	и у	2	5
76	этого типа	2	5
77	могут быть	19	5
78	жизни но	2	5
79	в роман	19	4
80	время и	2	4
81	в своем	3	4
82	характерно что	2	4
83	мы и	2	4
84	кроме того	4	4
85	до конца	12	4
86	европейского романа	3	4
87	и следовательно	7	4
88	в котором	2	4
89	романа но	2	4
90	все это	5	4
91	между этими	2	4
92	конечно и	2	4
93	потому что	2	4
94	и с	4	4
95	в ней	4	4
96	именно как	2	4
97	между собой	2	4
98	в них	6	4
99	роман в	2	4
100	то время	2	4
101	конечно не	3	4
102	и проч	2	4
103	в процессе	4	4
104	в той	10	4
105	том что	2	4
106	и для	4	4
107	и то	2	4
108	только в	6	4
109	здесь не	2	4
110	не могут	3	3
111	в этих	2	3
112	в отношении	6	3
113	формы и	3	3
114	к тому	3	3
115	при этом	6	3
116	xviii века	2	3
117	хотя и	2	3
118	один из	4	3
119	с одной	4	3
120	именно в	3	3
121	и других	3	3
122	жизни поэтому	3	3
123	романа и	5	3
124	друг друга	3	3
125	а в	6	3
126	вообще не	3	3
127	и те	2	3
128	сказать что	2	3
129	его но	3	3
130	его в	3	3
131	подхода к	5	3
132	в одном	2	3
133	поэтому и	3	3
134	а как	2	3
135	для них	2	3
136	был бы	2	3
137	на фоне	7	3
138	к этому	2	3
139	в качестве	3	3
140	одно и	2	3
141	одной из	3	3
142	в сущности	13	3
143	по преимуществу	4	3
144	разновидности романа	3	3
145	и потому	4	3
146	романа как	2	3
147	сих пор	2	3
148	только на	2	3
149	еще более	5	3
150	а не	15	3
151	между ними	2	3
152	мы не	2	3
153	мы видим	2	3
154	или в	8	3
155	с другими	5	3
156	нас в	2	3
157	более того	3	3
158	во всяком	7	3
159	быть только	2	3
160	и ее	3	3
161	в себе	3	3
162	входит в	4	3
163	все его	4	3
164	до сих	2	3
165	же как	2	2
166	никогда не	3	2
167	друг другу	2	2
168	его и	3	2
169	к своей	2	2
170	точку зрения	3	2
171	с другой	5	2
172	почти вовсе	5	2
173	что все	2	2
174	нем в	3	2
175	правда не	2	2
176	или иной	9	2
177	жизнь в	2	2
178	для нас	2	2
179	в широком	2	2
180	они были	2	2
181	лишь как	3	2
182	смысле слова	2	2
183	в свою	3	2
184	для него	3	2
185	одной стороны	4	2
186	в целом	2	2
187	отношение к	7	2
188	к своему	6	2
189	те же	2	2
190	того что	3	2
191	и даже	6	2
192	и по	2	2
193	рядом с	4	2
194	широком смысле	2	2
195	также и	3	2
196	же и	2	2
197	но он	2	2
198	той или	9	2
199	в истории	3	2
200	романе в	3	2
201	с ним	7	2
202	влияния на	3	2
203	в романах	2	2
204	вне его	2	2
205	не является	2	2
206	не как	4	2
207	и к	5	2
208	одна из	2	2
209	эта форма	3	2
210	здесь в	4	2
211	с этими	2	2
212	не были	3	2
213	и может	3	2
214	было бы	3	2
215	уже сказали	2	2
216	на один	2	2
217	но оно	3	2
218	том же	4	2
219	а также	2	2
220	на почве	4	2
221	оно не	6	2
222	в своей	7	2
223	как бы	12	2
224	быть и	4	2
225	момент его	3	2
226	совершенно не	2	2
227	если мы	2	2
228	уже не	2	2
229	и эта	2	2
230	с точки	8	2
231	речи в	4	2
232	хотя бы	3	2
233	в которой	4	2
234	той же	2	2
235	у них	2	2
236	в данном	3	2
237	от этого	2	2
238	автора и	4	2
239	он весь	2	2
240	выражение в	3	2
241	и вообще	2	2
242	ту же	4	2
243	далеко не	5	2
244	и бытовой	2	2
245	как оно	3	2
246	слова и	13	2
247	там где	4	2
248	но по	2	2
