N	2gram	Bakhtin_sl_2	Dialekti
1	и не	22	30
2	по себе	5	25
3	и т	35	21
4	т д	2	19
5	и в	39	18
6	может быть	37	17
7	точки зрения	8	17
8	в нем	19	16
9	ни в	4	15
10	а не	14	14
11	что в	3	13
12	то что	2	13
13	не только	24	13
14	и даже	7	13
15	с точки	3	12
16	в этом	16	12
17	не может	20	12
18	что он	2	11
19	как бы	7	11
20	все это	16	11
21	в себе	2	11
22	так как	4	11
23	прежде всего	8	10
24	то же	4	10
25	сказать что	3	10
26	никогда не	7	9
27	это не	5	9
28	в том	5	9
29	так и	15	9
30	том что	5	9
31	сама по	3	8
32	но это	3	8
33	к нему	3	8
34	вовсе не	10	7
35	и как	3	7
36	но и	21	7
37	также и	2	7
38	той или	5	7
39	с другой	5	6
40	хотя бы	3	6
41	она не	6	6
42	не было	2	6
43	не в	9	6
44	его не	4	6
45	в то	4	6
46	и ни	2	6
47	и образ	2	6
48	в чем	3	6
49	с ним	7	6
50	но в	6	6
51	в этих	7	5
52	в своем	6	5
53	в дальнейшем	2	5
54	не с	3	5
55	все же	6	5
56	отношение к	4	5
57	в отношении	4	5
58	в особенности	3	5
59	что оно	4	5
60	а в	4	5
61	и с	9	5
62	говорить о	3	5
63	но лишь	2	4
64	и более	2	4
65	во всяком	3	4
66	это и	2	4
67	но не	6	4
68	от него	5	4
69	же время	4	4
70	хотя и	2	4
71	быть и	3	4
72	смысл и	2	4
73	может и	2	4
74	только и	2	4
75	как мы	7	4
76	к ней	2	4
77	о том	2	4
78	как он	2	4
79	как это	3	4
80	если она	3	3
81	а лишь	2	3
82	может иметь	3	3
83	всех этих	4	3
84	в них	6	3
85	точку зрения	3	3
86	быть очень	3	3
87	должна быть	3	3
88	стороны и	3	3
89	или иной	5	3
90	но эта	2	3
91	что и	3	3
92	точек зрения	3	3
93	более или	2	3
94	конечно не	5	3
95	отношении к	4	3
96	он не	2	3
97	только с	2	3
98	в его	7	3
99	и потому	7	3
100	даже в	2	3
101	один из	5	3
102	жизни и	6	3
103	но она	2	3
104	отношения к	4	3
105	или менее	2	3
106	в их	2	3
107	еще более	2	3
108	но все	5	3
109	в данном	2	3
110	в основе	4	3
111	в ней	3	3
112	могут быть	7	3
113	даже и	4	3
114	нуждается в	2	3
115	только в	5	3
116	и все	5	3
117	ни к	2	2
118	на этом	3	2
119	не менее	4	2
120	поэтому и	4	2
121	не был	2	2
122	бы и	3	2
123	на нем	2	2
124	именно в	2	2
125	в виде	2	2
126	не знает	2	2
127	как в	13	2
128	и от	3	2
129	точка зрения	2	2
130	с другими	4	2
131	а просто	2	2
132	как и	6	2
133	свой смысл	2	2
134	и при	2	2
135	как о	2	2
136	связанные с	4	2
137	здесь в	3	2
138	для него	7	2
139	до сих	2	2
140	еще не	7	2
141	одной стороны	5	2
142	мы увидим	2	2
143	для того	2	2
144	в него	7	2
145	просто не	2	2
146	всяком случае	2	2
147	и их	5	2
148	сих пор	2	2
149	для этого	4	2
150	как например	2	2
151	т п	33	2
152	с этим	2	2
153	этом отношении	3	2
154	с одной	5	2
155	все эти	6	2
156	уже не	5	2
157	можно говорить	2	2
158	и для	5	2
159	стремится к	3	2
160	отличается от	2	2
161	с ними	5	2
162	или на	2	2
163	же и	2	2
164	именно как	2	2
165	но как	2	2
166	в другом	2	2
167	во всем	4	2
168	почти все	2	2
169	как с	2	2
