N	2gram	Tiupa_Narr_1	Tvorches
1	и в	11	20
2	в году	2	16
3	в романе	2	15
4	не только	31	13
5	никогда не	4	11
6	как бы	6	11
7	в его	6	10
8	в то	4	10
9	и его	10	9
10	и не	23	9
11	прежде всего	4	8
12	в том	8	8
13	при этом	19	8
14	но и	27	8
15	может быть	15	8
16	в этом	12	8
17	и с	3	8
18	это не	3	7
19	же время	4	7
20	что в	3	7
21	не может	8	7
22	то же	8	7
23	потому что	5	7
24	у него	7	6
25	в конце	2	6
26	что он	3	6
27	как и	13	6
28	в целом	3	6
29	в своей	5	6
30	так и	5	6
31	именно в	3	6
32	а не	13	6
33	в мире	4	5
34	еще не	4	5
35	но не	4	5
36	все же	4	5
37	и даже	2	5
38	и на	5	5
39	в этой	6	5
40	о том	4	5
41	то есть	9	5
42	об этом	6	4
43	что у	4	4
44	и от	2	4
45	мы не	3	4
46	в соответствии	5	4
47	том что	7	4
48	соответствии с	4	4
49	отнюдь не	2	4
50	хотя и	4	4
51	как в	4	4
52	если не	2	4
53	тем самым	5	4
54	героя в	3	4
55	в принципе	4	4
56	не в	6	4
57	а в	13	4
58	в чем	2	4
59	ничего не	2	4
60	если бы	7	4
61	но в	7	4
62	он сам	3	3
63	казалось бы	2	3
64	жизни в	2	3
65	с ним	2	3
66	но зато	2	3
67	отношению к	3	3
68	одна из	4	3
69	для него	4	3
70	у нее	4	3
71	что не	2	3
72	своего рода	10	3
73	в самом	6	3
74	он не	3	3
75	не является	3	3
76	по сути	2	3
77	один из	6	3
78	в нем	4	3
79	то что	9	3
80	главного героя	3	3
81	вместе с	2	3
82	сих пор	2	3
83	по отношению	3	3
84	тогда как	10	3
85	и через	2	3
86	человека в	2	3
87	уже не	8	3
88	в таком	2	3
89	в рассказе	8	3
90	в себе	6	3
91	в начале	3	3
92	как у	2	3
93	между тем	3	3
94	до сих	2	3
95	действующих лиц	5	2
96	а во	4	2
97	зависит от	2	2
98	не менее	3	2
99	это уже	3	2
100	его и	2	2
101	с другой	2	2
102	в одном	4	2
103	во всяком	2	2
104	и ее	3	2
105	что на	4	2
106	в литературе	4	2
107	тому же	6	2
108	у нас	3	2
109	как известно	3	2
110	в частности	14	2
111	у тургенева	2	2
112	по причине	2	2
113	всяком случае	2	2
114	к жизни	2	2
115	точка зрения	5	2
116	себя в	2	2
117	в первой	2	2
118	и тогда	2	2
119	так в	4	2
120	в отличие	2	2
121	ли не	2	2
122	начиная с	3	2
123	не было	3	2
124	сводится к	3	2
125	самом деле	3	2
126	может служить	3	2
127	другой стороны	2	2
128	и он	6	2
129	друг друга	2	2
130	особенно в	2	2
131	роль в	2	2
132	с ними	2	2
133	х гг	2	2
134	из нас	2	2
135	из них	4	2
136	и еще	2	2
137	и только	2	2
138	только в	12	2
139	как правило	5	2
140	в русской	3	2
141	героя и	2	2
142	так сказать	2	2
143	их в	3	2
144	едва ли	3	2
145	отличие от	2	2
146	более не	2	2
