N	2gram	Bakhtin_Fr_8	DiskursI
1	в качестве	4	34
2	не только	8	28
3	в том	13	23
4	а не	2	22
5	то есть	24	20
6	том что	8	19
7	может быть	3	17
8	и в	56	16
9	как и	5	16
10	в этом	14	15
11	еще не	10	14
12	но и	9	14
13	при этом	4	13
14	и т.п	11	12
15	прежде всего	6	11
16	но не	5	11
17	и не	9	11
18	по своей	4	11
19	с другой	2	10
20	далеко не	2	10
21	в частности	7	9
22	в нем	8	9
23	одной стороны	2	9
24	не может	2	9
25	с одной	4	9
26	а также	3	8
27	своего рода	5	8
28	так и	13	8
29	о том	4	8
30	но в	6	8
31	в основе	4	7
32	в его	18	7
33	то же	11	7
34	не было	5	7
35	роль в	5	7
36	в себе	4	7
37	только в	9	7
38	не в	3	7
39	в своем	3	6
40	и как	2	6
41	можно сказать	2	5
42	как бы	11	5
43	в котором	2	5
44	в своей	2	5
45	то что	3	5
46	во всех	8	5
47	в процессе	5	5
48	а в	2	5
49	в их	3	5
50	в эпоху	10	5
51	и на	7	5
52	в данном	2	5
53	с его	5	4
54	что в	5	4
55	в них	11	4
56	не как	2	4
57	и к	4	4
58	что он	2	4
59	уже не	3	4
60	для него	2	4
61	же время	10	4
62	одной из	3	4
63	связи с	6	4
64	на его	6	4
65	и о	3	4
66	в особенности	4	4
67	в которых	2	4
68	потому что	6	4
69	между тем	3	4
70	и т.д	3	4
71	перед нами	3	3
72	это не	2	3
73	что и	3	3
74	в ее	6	3
75	времени и	4	3
76	по своему	8	3
77	в действительности	2	3
78	в самом	9	3
79	к ним	2	3
80	той или	2	3
81	картина мира	2	3
82	один из	5	3
83	все же	2	3
84	из них	2	3
85	таким образом	17	3
86	другой стороны	2	3
87	и даже	8	3
88	в своих	4	3
89	сказать что	3	3
90	точки зрения	6	3
91	в то	12	3
92	существенную роль	3	3
93	также и	2	3
94	зрения на	2	3
95	и потому	4	3
96	в едином	3	2
97	никогда не	5	2
98	том числе	3	2
99	и во	2	2
100	или меньшей	3	2
101	и все	6	2
102	в одном	2	2
103	это в	2	2
104	к этому	2	2
105	для понимания	2	2
106	в году	3	2
107	в литературе	3	2
108	к его	3	2
109	его как	2	2
110	в пределах	5	2
111	более того	3	2
112	в значительной	2	2
113	более или	2	2
114	числе и	2	2
115	большей или	3	2
116	так например	2	2
117	своего времени	6	2
118	в сущности	8	2
119	с некоторыми	2	2
120	одним из	5	2
121	хотя и	2	2
122	и др	8	2
123	например в	4	2
124	точка зрения	2	2
125	с ее	5	2
126	когда он	2	2
127	дело не	2	2
128	в форме	3	2
129	или менее	2	2
130	данном случае	2	2
131	за пределы	4	2
132	целый ряд	2	2
133	языка и	6	2
134	для своего	2	2
135	как к	2	2
136	уже в	2	2
137	как мы	7	2
138	времени в	3	2
139	эпохи и	6	2
140	и его	12	2
141	здесь в	3	2
142	характер и	3	2
143	и ее	4	2
144	к которому	3	2
145	в другом	3	2
146	в этой	6	2
147	так сказать	5	2
148	они не	5	2
