N	2gram	Bakhtin_Pr_5	OGranits
1	и в	35	13
2	и его	14	12
3	прежде всего	12	9
4	не может	18	8
5	и не	27	8
6	может быть	14	8
7	и т.п	6	7
8	точки зрения	7	7
9	в его	21	7
10	таким образом	7	6
11	не только	10	6
12	то что	10	6
13	только в	6	6
14	мы должны	3	6
15	как бы	31	6
16	все же	8	5
17	с точки	2	5
18	но ведь	2	5
19	хотя бы	2	5
20	и т.д	3	5
21	и наконец	7	5
22	то же	15	4
23	в своей	4	4
24	все это	14	4
25	в каждом	6	4
26	лишь в	7	4
27	мы можем	2	4
28	слов и	3	4
29	было бы	3	4
30	вполне понятно	2	4
31	но в	19	4
32	отношению к	7	3
33	что в	6	3
34	никогда не	4	3
35	но и	14	3
36	так и	8	3
37	понятно что	2	3
38	что же	7	3
39	по отношению	6	3
40	не как	3	3
41	и все	15	3
42	в одном	6	3
43	самом деле	10	3
44	к одному	3	3
45	я хочу	2	3
46	в ее	3	3
47	да и	5	3
48	как и	18	3
49	не в	10	3
50	за пределы	3	3
51	в которой	2	3
52	и то	5	3
53	в пределах	11	3
54	одно и	3	3
55	в себе	5	3
56	говорить о	3	3
57	с этим	3	3
58	и для	8	3
59	так как	4	3
60	но для	2	3
61	слово в	2	3
62	еще в	4	2
63	и этот	2	2
64	не менее	2	2
65	для себя	7	2
66	уже в	3	2
67	с этой	2	2
68	а как	2	2
69	самого начала	8	2
70	в нем	16	2
71	он только	3	2
72	и отчасти	2	2
73	в целом	3	2
74	сознания и	4	2
75	своего рода	2	2
76	а не	4	2
77	в этот	2	2
78	в отношении	9	2
79	в произведении	2	2
80	другой стороны	3	2
81	но так	3	2
82	с другой	4	2
83	в них	4	2
84	а в	7	2
85	все эти	3	2
86	вовсе не	7	2
87	те же	2	2
88	конечно в	2	2
89	материалом для	2	2
90	с самого	8	2
91	каждое слово	3	2
92	к тому	6	2
93	и к	12	2
94	как в	5	2
95	в общем	3	2
96	в чем	4	2
97	в том	5	2
98	наконец в	4	2
99	так же	7	2
100	не мог	3	2
101	том что	3	2
102	с ними	5	2
103	что они	6	2
104	в этом	14	2
105	тем что	4	2
106	между тем	4	2
107	при этом	2	2
108	нуждается в	3	2
109	всей своей	2	2
110	для него	14	2
111	в другом	12	2
112	во всем	4	2
113	тот же	4	2
114	кажется что	2	2
115	мы уже	8	2
116	слова и	11	2
117	в самом	6	2
118	героя и	10	2
119	мог бы	2	2
120	там где	7	2
121	бы в	4	2
122	в ней	2	2
