N	3gram	Tiupa_Anal_1	Narrotol
1	в том что	9	8
2	в данном случае	2	6
3	не сводится к	2	6
4	в отличие от	6	5
5	по отношению к	5	5
6	с одной стороны	3	5
7	состоит в том	3	4
8	к тому же	4	4
9	о том что	3	4
10	при встрече с	2	3
11	в конечном счете	4	3
12	то же время	6	3
13	и представляет собой	3	3
14	той или иной	6	3
15	в то же	8	3
16	в этом отношении	2	3
17	того или иного	3	3
18	в той мере	2	2
19	имеем дело с	3	2
20	мере в какой	2	2
21	с точки зрения	4	2
22	и не может	4	2
23	подобно тому как	3	2
24	не может быть	16	2
25	той мере в	2	2
26	в равной степени	2	2
27	и все же	2	2
28	но и в	2	2
29	мы имеем дело	4	2
30	и т п	3	2
