N	2gram	Trubetskoy_1	Problema
1	в его	4	43
2	и не	19	42
3	и в	14	38
4	не может	22	27
5	может быть	9	26
6	как бы	4	22
7	по отношению	2	21
8	отнюдь не	7	19
9	и с	7	17
10	в нем	5	15
11	в этом	17	15
12	и т	3	14
13	прежде всего	8	13
14	только в	5	13
15	но не	4	12
16	ни в	2	11
17	во всех	5	11
18	и для	6	11
19	в области	2	11
20	к нему	2	10
21	в их	4	10
22	таким образом	11	10
23	но и	10	9
24	его в	4	9
25	не только	9	9
26	место в	2	8
27	в том	17	8
28	и как	3	8
29	точки зрения	11	8
30	было бы	5	8
31	для нее	2	8
32	то что	13	8
33	что в	4	7
34	не в	4	7
35	в самом	3	7
36	между тем	5	7
37	отметить что	2	7
38	как и	4	7
39	еще не	3	7
40	совершенно не	2	7
41	в своей	5	7
42	не к	2	6
43	и наконец	2	6
44	а в	5	6
45	не есть	3	6
46	все же	4	6
47	самом деле	7	6
48	с точки	9	6
49	мы можем	2	6
50	отношения к	2	6
51	то же	11	5
52	все они	3	5
53	в своем	6	5
54	при этом	5	5
55	никогда не	5	5
56	все эти	2	5
57	должно быть	3	5
58	с ним	2	5
59	себя как	2	5
60	конечно не	5	5
61	и о	2	5
62	в большинстве	3	5
63	большинстве случаев	2	5
64	а не	2	5
65	должна быть	2	4
66	на самом	6	4
67	в ней	2	4
68	данном случае	3	4
69	и только	5	4
70	в других	2	4
71	в то	10	4
72	о том	7	4
73	и потому	3	4
74	но в	2	4
75	тем самым	2	4
76	хотя бы	5	4
77	можно было	4	4
78	в данном	7	4
79	в себе	9	4
80	себя и	5	3
81	то ни	4	3
82	и от	2	3
83	да и	3	3
84	но это	2	3
85	же время	10	3
86	несмотря на	3	3
87	и тем	2	3
88	все это	6	3
89	и даже	2	3
90	и на	5	3
91	и должно	2	3
92	если бы	6	3
93	ясно что	2	3
94	и к	6	3
95	она может	3	3
96	том что	9	3
97	говорить о	3	3
98	от него	2	3
99	бы то	4	3
100	все что	4	3
101	одной из	3	3
102	он не	5	3
103	помнить что	2	3
104	на почве	2	3
105	приводит к	4	3
106	культуры и	2	3
107	в мире	4	3
108	в таком	2	3
109	а лишь	4	2
110	не могут	4	2
111	ни к	7	2
112	и есть	2	2
113	в частности	2	2
114	в этих	2	2
115	что все	3	2
116	на то	5	2
117	или иной	5	2
118	что оно	3	2
119	с самим	2	2
120	ибо в	3	2
121	в значительной	3	2
122	не можем	2	2
123	что это	3	2
124	той или	3	2
125	но совершенно	2	2
126	в котором	2	2
127	центр тяжести	2	2
128	но она	2	2
129	отличается от	2	2
130	не было	3	2
131	лишь в	3	2
132	и что	2	2
133	того что	3	2
134	и те	2	2
135	в своих	6	2
136	к себе	2	2
137	в начале	2	2
138	во всем	4	2
139	о котором	3	2
140	мы должны	7	2
141	того или	2	2
142	в россии	6	2
143	и более	2	2
144	он должен	5	2
145	и во	3	2
146	или иного	2	2
147	о которых	3	2
148	что он	6	2
149	по существу	5	2
150	и при	6	2
151	связи с	3	2
152	одна из	3	2
153	лучшем случае	3	2
154	она не	2	2
155	в корне	4	2
156	ни одна	3	2
157	в некоторых	2	2
158	том же	2	2
159	что и	3	2
160	себя в	4	2
161	того чтобы	8	2
162	для того	6	2
163	из которых	5	2
164	к чему	2	2
165	в лучшем	3	2
166	или в	3	2
167	тем что	3	2
168	в виде	3	2
169	в другом	3	2
170	в таких	2	2
