N	2gram	Bakhtin_fo_2	EvropaiC
1	таким образом	3	32
2	в том	10	31
3	и в	46	24
4	том что	4	20
5	все эти	5	19
6	не может	2	18
7	то что	7	17
8	может быть	7	15
9	все же	6	15
10	точки зрения	10	13
11	в своем	5	12
12	до сих	2	12
13	сих пор	2	12
14	в этом	22	12
15	все это	6	11
16	с этим	5	11
17	как бы	10	10
18	все что	2	10
19	во всех	11	10
20	так и	7	10
21	при этом	6	9
22	друг с	4	9
23	как и	8	9
24	того же	3	9
25	с другом	4	9
26	что в	5	9
27	не в	9	8
28	так же	2	8
29	и все	6	8
30	с точки	8	8
31	к тому	3	7
32	но и	9	7
33	и не	9	7
34	из этих	4	7
35	о том	4	7
36	что он	3	7
37	по существу	5	7
38	того чтобы	8	7
39	для того	8	7
40	все они	3	6
41	с другой	2	6
42	так что	4	6
43	в этой	2	6
44	друг от	2	6
45	от друга	2	6
46	того что	3	6
47	как на	2	6
48	и на	7	6
49	так как	6	6
50	с ним	4	6
51	еще не	6	6
52	что и	3	6
53	в мире	4	6
54	у них	2	6
55	только в	11	6
56	вместе с	9	6
57	именно в	2	5
58	и от	2	5
59	что все	2	5
60	у него	9	5
61	и их	4	5
62	и с	6	5
63	потому что	8	5
64	его в	6	5
65	но в	10	5
66	к этому	3	5
67	и к	2	5
68	в то	5	5
69	по своему	2	5
70	в его	8	5
71	не только	11	5
72	быть и	2	5
73	и для	9	5
74	лишь в	2	5
75	в себе	4	5
76	далеко не	2	5
77	никогда не	6	4
78	та же	3	4
79	в конце	2	4
80	этом случае	2	4
81	в дальнейшем	5	4
82	хотя и	3	4
83	отношение к	3	4
84	из них	8	4
85	в их	3	4
86	должно быть	5	4
87	всех этих	7	4
88	связи с	8	4
89	мы уже	9	4
90	том же	4	4
91	он не	5	4
92	то же	8	4
93	и у	5	4
94	мы будем	3	3
95	с одной	2	3
96	в этих	3	3
97	представление о	2	3
98	ее и	2	3
99	как у	3	3
100	за ними	4	3
101	в нем	5	3
102	целый ряд	3	3
103	в совершенно	3	3
104	и других	2	3
105	и наконец	6	3
106	и по	3	3
107	а в	3	3
108	это не	2	3
109	каждый из	2	3
110	в истории	4	3
111	и потому	2	3
112	с тем	2	3
113	прежде всего	14	3
114	на нас	3	3
115	у нас	2	3
116	тот же	3	3
117	конечно не	4	3
118	на земле	2	3
119	жизнь и	3	3
120	в данном	2	3
121	тем более	3	3
122	в связи	8	3
123	и это	2	3
124	и весь	2	2
125	в частности	5	2
126	себя и	3	2
127	с этой	4	2
128	что на	3	2
129	как мы	6	2
130	все в	2	2
131	для него	3	2
132	что они	4	2
133	на этом	2	2
134	развития человечества	2	2
135	же время	4	2
136	ни для	2	2
137	к ним	2	2
138	в виду	3	2
139	в котором	4	2
140	только один	2	2
141	вступают в	2	2
142	мы видели	2	2
143	при виде	3	2
144	и до	2	2
145	имеет место	3	2
146	те же	6	2
147	в самой	2	2
148	в которых	3	2
149	и так	2	2
150	говорить о	2	2
151	не было	3	2
152	также и	4	2
153	во всяком	2	2
154	то есть	10	2
155	в основе	6	2
156	и более	2	2
157	отнюдь не	4	2
158	в них	7	2
159	вовсе не	13	2
160	в индивидуальном	2	2
161	со своими	2	2
162	на первый	3	2
163	а затем	3	2
164	то в	2	2
165	но не	5	2
166	она не	2	2
167	было бы	2	2
168	жизни и	8	2
169	в сущности	2	2
170	почти все	3	2
171	в себя	2	2
172	между ними	2	2
173	в другом	3	2
174	ту же	2	2
175	не знает	2	2
176	и только	2	2
177	все его	4	2
