N	2gram	Vinokur_Vv_1	KFilosof
1	может быть	24	43
2	в его	10	39
3	в нем	13	31
4	не может	13	27
5	и не	13	26
6	по отношению	4	25
7	и в	27	22
8	в котором	4	21
9	отношению к	4	21
10	в себе	4	21
11	не есть	4	19
12	в ее	11	17
13	а не	3	17
14	и его	5	17
15	только в	13	16
16	точки зрения	7	13
17	в этом	34	13
18	но не	7	12
19	и это	6	12
20	все эти	3	11
21	в своей	4	11
22	не в	8	11
23	к нему	2	11
24	в своем	3	10
25	это не	8	10
26	все это	6	10
27	от себя	3	10
28	во всех	2	10
29	с точки	2	10
30	и есть	3	9
31	в целом	5	9
32	но и	5	9
33	в их	11	9
34	как бы	5	9
35	и для	4	9
36	единого и	2	8
37	если бы	2	8
38	было бы	5	8
39	жизни и	2	8
40	со стороны	12	8
41	во всем	2	7
42	вовсе не	6	7
43	должен быть	4	7
44	что и	3	7
45	то что	17	7
46	себя в	2	7
47	в том	31	6
48	отношение к	3	6
49	уже не	5	6
50	никогда не	3	5
51	хотя бы	5	5
52	то же	8	5
53	но все	3	5
54	именно в	8	5
55	не имеет	4	5
56	должно быть	2	5
57	но как	2	5
58	но ведь	4	5
59	его в	6	5
60	но в	10	5
61	как и	5	5
62	есть лишь	2	5
63	не только	21	5
64	все же	8	5
65	мы имеем	3	5
66	жизни как	2	5
67	времени и	4	4
68	что в	11	4
69	входит в	2	4
70	при этом	3	4
71	в своих	2	4
72	между тем	8	4
73	в одном	4	4
74	нисколько не	3	4
75	не как	3	4
76	быть в	4	4
77	том что	26	4
78	только как	6	4
79	а в	5	4
80	и т.д	4	4
81	познания и	2	4
82	в чем	4	4
83	бы и	2	3
84	независимо от	3	3
85	должна быть	2	3
86	что это	3	3
87	не менее	8	3
88	в каждом	4	3
89	из его	2	3
90	лишь как	2	3
91	ближе к	2	3
92	до конца	3	3
93	в виду	4	3
94	себе и	2	3
95	здесь нет	4	3
96	и тем	5	3
97	от того	3	3
98	того что	12	3
99	рядом с	2	3
100	и на	3	3
101	и совершенно	2	3
102	в ней	3	3
103	в то	5	3
104	отсюда и	2	3
105	о том	15	3
106	мы не	2	3
107	тогда когда	3	3
108	этом смысле	11	3
109	ясно что	9	3
110	по своему	5	3
111	еще не	4	3
112	быть и	2	3
113	котором он	2	3
114	самом деле	6	3
115	для того	21	3
116	только с	3	3
117	что не	5	3
118	тем что	6	3
119	могут быть	4	3
120	в другом	3	3
121	здесь не	2	3
122	ничего не	2	3
123	прежде всего	8	2
124	вопрос о	8	2
125	его к	2	2
126	тем не	8	2
127	и как	9	2
128	только по	3	2
129	это есть	2	2
130	соответствии с	2	2
131	совсем не	3	2
132	же время	5	2
133	областей культуры	3	2
134	другое дело	3	2
135	по себе	9	2
136	тому что	2	2
137	для этого	3	2
138	и других	3	2
139	именно на	2	2
140	действительности в	2	2
141	в принципе	2	2
142	ее от	2	2
143	потому что	14	2
144	он и	2	2
145	говорить о	3	2
146	ни к	2	2
147	а как	3	2
148	и то	5	2
149	с тем	6	2
150	к этому	3	2
151	что он	4	2
152	и того	2	2
153	в соответствии	2	2
154	в качестве	7	2
155	не нужно	2	2
156	ни одна	2	2
157	этого слова	2	2
158	дело не	3	2
159	и именно	12	2
160	дело с	6	2
161	это только	4	2
162	в виде	4	2
163	того чтобы	21	2
164	в данном	11	2
165	от этого	5	2
166	в этой	3	2
167	отношении к	2	2
168	как оно	3	2
169	дело в	3	2
170	или как	3	2
171	в области	4	2
