N	2gram	Trubetskoy_1	NovoeSre
1	не может	17	16
2	и в	23	16
3	во имя	3	15
4	и не	8	11
5	что в	8	9
6	жизни и	2	8
7	как не	2	8
8	он не	3	8
9	в том	30	8
10	не будет	5	7
11	культуры и	9	7
12	как и	9	7
13	это есть	4	7
14	в этом	12	7
15	может быть	16	7
16	никогда не	4	6
17	не знает	2	6
18	не в	8	6
19	лишь в	5	6
20	в нем	3	5
21	все это	11	5
22	в жизни	3	5
23	с ее	2	5
24	культуры в	10	5
25	и к	5	5
26	в ней	3	5
27	не только	7	5
28	не менее	7	4
29	то что	18	4
30	в них	2	4
31	это не	3	4
32	и все	7	4
33	не было	2	4
34	и для	6	4
35	должно быть	4	4
36	потому что	9	4
37	по своему	5	4
38	прежде всего	3	4
39	о том	7	4
40	и потому	3	4
41	но и	9	3
42	не есть	2	3
43	должна быть	5	3
44	в истории	3	3
45	с другой	6	3
46	вопрос о	3	3
47	во всех	10	3
48	к тому	8	3
49	в мире	6	3
50	в основе	2	3
51	с тем	2	3
52	конечно не	3	3
53	она не	2	3
54	еще не	5	3
55	к ним	2	3
56	что все	5	2
57	я не	2	2
58	том и	2	2
59	каждого человека	2	2
60	у него	5	2
61	вместе с	6	2
62	все они	5	2
63	так и	10	2
64	не будут	2	2
65	для этого	7	2
66	приобщиться к	2	2
67	другой стороны	5	2
68	и от	5	2
69	а в	3	2
70	с одной	3	2
71	все эти	19	2
72	в одну	4	2
73	такой же	2	2
74	того чтобы	8	2
75	одной стороны	2	2
76	хотя бы	4	2
77	но не	2	2
78	так же	8	2
79	по существу	6	2
80	том что	19	2
81	есть в	2	2
82	же как	3	2
83	и культуры	4	2
84	можно назвать	3	2
85	одна из	2	2
86	и с	5	2
87	и что	8	2
88	с этим	11	2
89	и на	6	2
90	в себе	5	2
91	в то	6	2
92	как будто	5	2
93	истории все	2	2
94	и это	3	2
95	том чтобы	2	2
96	но для	2	2
97	хотя и	4	2
98	но в	4	2
