N	3gram	Bakhtin_Pr_1	Myshleni
1	с точки зрения	15	21
2	для того чтобы	2	18
3	в том что	7	13
4	с самого начала	2	7
5	в данном случае	2	5
6	по отношению к	11	5
7	в самом деле	2	4
8	о том что	2	4
9	не может быть	3	4
10	заключается в том	2	4
11	можно сказать что	2	3
12	в этом отношении	5	3
13	до сих пор	2	3
14	но и не	2	3
15	в большинстве случаев	2	2
16	в то время	2	2
17	том что он	4	2
18	в той же	3	2
19	в отличие от	2	2
20	в лучшем случае	2	2
21	на самом деле	3	2
22	друг с другом	3	2
23	потому что он	2	2
