N	2gram	Bakhtin_Fr_3	Dialekti
1	и не	13	30
2	и есть	3	19
3	а не	5	18
4	может быть	9	17
5	то что	5	16
6	и в	40	15
7	как бы	3	14
8	так как	4	14
9	точки зрения	2	14
10	это есть	2	13
11	это не	2	12
12	прежде всего	16	11
13	и вот	2	11
14	в том	8	11
15	не может	3	11
16	и все	9	11
17	в этом	15	11
18	в основе	5	10
19	потому что	2	10
20	том что	4	10
21	было бы	4	9
22	в виду	7	9
23	все это	4	9
24	мы не	2	9
25	это и	2	9
26	то же	7	9
27	ни в	4	8
28	в себе	3	8
29	и о	4	8
30	не только	13	8
31	и ее	2	8
32	и это	2	8
33	что в	12	7
34	что он	2	7
35	как и	11	7
36	и его	17	7
37	только в	3	7
38	же время	6	6
39	и даже	4	6
40	сказать что	3	6
41	вовсе не	12	6
42	если бы	3	6
43	в то	6	6
44	что и	3	6
45	так и	3	5
46	в своем	7	5
47	можно сказать	2	5
48	того чтобы	4	5
49	в ней	4	5
50	в нем	5	5
51	другими словами	3	5
52	в свете	3	5
53	таким образом	10	5
54	именно в	2	5
55	и на	8	5
56	о том	4	5
57	с его	3	5
58	быть в	2	5
59	в сущности	9	5
60	для того	3	5
61	и для	5	5
62	той же	8	5
63	и как	3	4
64	но это	3	4
65	в этой	3	4
66	один из	4	4
67	жизни и	4	4
68	но и	11	4
69	в особенности	5	4
70	также и	4	4
71	и с	8	4
72	той или	2	4
73	в одном	7	4
74	мы видим	5	4
75	еще не	3	4
76	как раз	5	4
77	в течение	2	4
78	должны быть	2	4
79	хотя бы	2	4
80	в его	13	4
81	вы не	4	3
82	только для	3	3
83	на этом	2	3
84	и если	2	3
85	и той	2	3
86	и следовательно	3	3
87	к жизни	2	3
88	в их	4	3
89	все эти	8	3
90	и наконец	3	3
91	с этим	2	3
92	даже и	2	3
93	в истории	4	3
94	но в	8	3
95	в один	2	3
96	к этому	6	3
97	об этом	3	3
98	у нас	4	3
99	есть и	2	3
100	мы уже	13	3
101	в своей	6	3
102	и потому	4	3
103	как в	3	3
104	одной и	2	3
105	в данном	4	3
106	в области	4	3
107	не менее	2	2
108	в частности	3	2
109	мы еще	6	2
110	из этих	2	2
111	представление о	2	2
112	но все	3	2
113	как о	2	2
114	кроме того	3	2
115	в нашей	2	2
116	при этом	3	2
117	в самом	6	2
118	в котором	2	2
119	из них	4	2
120	вот как	2	2
121	для этого	3	2
122	в разных	2	2
123	не было	5	2
124	мы находим	3	2
125	лишь в	2	2
126	и так	2	2
127	же и	3	2
128	но как	2	2
129	во всем	3	2
130	не понимает	3	2
131	в них	9	2
132	сравнению с	2	2
133	и во	4	2
134	думать что	2	2
135	что было	2	2
136	в ее	3	2
137	все же	2	2
138	все что	2	2
139	но именно	3	2
140	одной из	2	2
141	конечно не	2	2
142	никак не	3	2
143	о нем	3	2
144	в этот	2	2
145	по сравнению	2	2
146	во всех	6	2
147	вместе с	3	2
148	во всей	3	2
149	как нечто	2	2
150	не раз	2	2
151	тем что	3	2
152	ни от	2	2
153	в которой	2	2
154	отличие от	3	2
