N	2gram	Propp_Russ_2	Tragedij
1	и в	29	18
2	в году	3	9
3	в этом	11	9
4	не только	10	8
5	и на	6	7
6	и с	10	7
7	может быть	13	7
8	как бы	18	7
9	в образе	2	6
10	но в	5	6
11	все же	2	5
12	к жизни	5	5
13	что это	3	5
14	это не	5	5
15	не может	5	5
16	то же	4	5
17	как и	11	5
18	в то	2	5
19	но и	8	4
20	то что	5	4
21	что в	22	4
22	все это	10	4
23	прежде всего	2	4
24	и все	4	4
25	так же	4	4
26	том что	22	4
27	в этой	3	4
28	и что	5	4
29	еще не	6	4
30	об этом	2	4
31	один из	2	3
32	о чем	4	3
33	как в	7	3
34	все эти	3	3
35	в поле	19	3
36	жизнь и	2	3
37	и как	2	3
38	к нему	4	3
39	должно быть	2	3
40	что с	2	3
41	при этом	6	3
42	как это	4	3
43	еще в	2	2
44	она как	2	2
45	не имеет	3	2
46	не был	2	2
47	что и	2	2
48	в отличие	3	2
49	данном случае	7	2
50	то и	4	2
51	вопрос о	4	2
52	ее к	2	2
53	уже не	4	2
54	в ее	3	2
55	в том	22	2
56	до конца	3	2
57	друг друга	3	2
58	говорит о	2	2
59	отличие от	3	2
60	так что	4	2
61	в таком	4	2
62	не в	4	2
63	вряд ли	2	2
64	в данном	6	2
65	и то	2	2
66	одна из	11	2
67	потому что	5	2
68	с тем	6	2
69	тем что	3	2
70	в виде	4	2
71	в глаза	2	2
72	и ее	2	2
73	бросается в	2	2
74	о том	9	2
75	его в	8	2
76	что она	3	2
77	никогда не	2	2
