N	2gram	Bakhtin_Pr_1	Stilisti
1	и в	29	42
2	как бы	19	27
3	не только	15	27
4	прежде всего	7	22
5	хотя бы	2	17
6	но и	14	15
7	то же	14	15
8	и не	31	14
9	может быть	24	12
10	не может	12	12
11	точки зрения	19	11
12	как и	12	11
13	мы уже	2	11
14	и как	7	10
15	мы должны	3	10
16	как мы	4	10
17	в этом	22	10
18	при этом	2	9
19	в то	10	9
20	то что	15	9
21	все же	9	8
22	в ней	2	8
23	таким образом	12	8
24	что же	4	8
25	в себе	7	8
26	и это	5	8
27	никогда не	3	7
28	зависимости от	5	7
29	и от	2	7
30	же время	9	7
31	и на	7	7
32	потому что	8	7
33	так как	6	7
34	с его	9	7
35	в зависимости	5	7
36	было бы	5	7
37	а не	22	7
38	и его	14	7
39	только в	10	7
40	в которой	2	7
41	ничего не	5	7
42	точку зрения	6	6
43	не в	7	6
44	в этой	4	6
45	на его	2	6
46	в форме	7	6
47	в конце	6	6
48	в нем	19	6
49	в процессе	4	6
50	так и	7	6
51	или как	5	6
52	уже в	3	5
53	тому что	3	5
54	и следовательно	4	5
55	те же	2	5
56	а в	7	5
57	и с	4	5
58	и наконец	4	5
59	в сознании	2	5
60	точек зрения	3	5
61	в его	24	5
62	в той	2	5
63	с точки	13	5
64	той же	5	5
65	самого начала	2	4
66	все время	2	4
67	в каждом	8	4
68	но все	5	4
69	художественного творчества	3	4
70	в самом	10	4
71	точка зрения	12	4
72	один из	2	4
73	все это	6	4
74	так же	6	4
75	его в	6	4
76	бы в	3	4
77	но в	7	4
78	если бы	9	4
79	были бы	4	4
80	и к	2	4
81	мы видим	2	4
82	если б	2	4
83	на него	3	4
84	уже не	13	4
85	самом деле	6	4
86	и пр	3	4
87	можно было	2	4
88	так сказать	4	4
89	его и	2	3
90	перед нами	5	3
91	это не	9	3
92	слова но	2	3
93	как таковой	2	3
94	здесь мы	2	3
95	в котором	2	3
96	и уже	2	3
97	в целом	6	3
98	жизни и	2	3
99	от того	4	3
100	что оно	2	3
101	не становится	5	3
102	и даже	2	3
103	их в	4	3
104	сказать что	3	3
105	и здесь	3	3
106	вследствие этого	2	3
107	что было	4	3
108	то он	2	3
109	в одном	10	3
110	том что	7	3
111	социальной жизни	2	3
112	еще не	5	3
113	о своем	3	3
114	конечно не	2	3
115	как предмет	4	3
116	что и	4	3
117	сознания не	4	3
118	отношения к	3	3
119	на самом	5	3
120	и слово	3	3
121	между ними	2	3
122	и для	4	3
123	конце концов	5	3
124	выражение в	6	3
125	связи с	2	3
126	не знает	3	3
127	бы и	4	2
128	друг другу	2	2
129	или даже	2	2
130	человека в	4	2
131	вопрос о	2	2
132	в мире	6	2
133	в том	8	2
134	но это	4	2
135	находит свое	2	2
136	и нет	2	2
137	для него	18	2
138	до конца	8	2
139	в пределах	13	2
140	и сам	2	2
141	несмотря на	6	2
142	себе и	3	2
143	отношение к	2	2
144	в первой	2	2
145	как например	2	2
146	в отношении	2	2
147	не было	4	2
148	этом отношении	3	2
149	все эти	9	2
150	но эта	4	2
151	должно быть	4	2
152	в которых	2	2
153	в своих	3	2
154	все то	4	2
155	в жизни	2	2
156	в основе	4	2
157	однако в	2	2
158	с этим	2	2
159	что он	8	2
160	должна была	4	2
161	но не	9	2
162	ни один	3	2
163	тот же	2	2
164	и потому	6	2
165	не есть	2	2
166	войти в	2	2
167	зрения на	7	2
168	как не	8	2
169	в своей	8	2
170	в кругозор	6	2
171	сих пор	2	2
172	бытия в	3	2
173	как в	6	2
174	из которых	2	2
175	другого человека	4	2
176	к нему	6	2
177	с ним	5	2
178	этот вопрос	2	2
179	тем что	4	2
180	заметить что	2	2
