N	2gram	Bakhtin_Fr_1	Analitik
1	может быть	6	29
2	в том	16	27
3	не может	3	22
4	и не	22	21
5	в частности	5	19
6	и в	65	18
7	но и	10	17
8	не только	10	15
9	не в	4	14
10	как и	5	13
11	в его	9	13
12	в этом	15	13
13	том что	6	12
14	при этом	6	12
15	в себе	3	11
16	то есть	45	11
17	но не	2	10
18	в той	5	8
19	но в	14	8
20	к тому	2	7
21	времени и	6	6
22	это не	3	6
23	прежде всего	11	6
24	или иной	5	6
25	в самом	4	6
26	в сущности	16	6
27	той или	5	6
28	далеко не	3	6
29	то что	3	6
30	в своей	5	6
31	в себя	3	6
32	в отличие	4	6
33	отличие от	5	6
34	в основе	8	6
35	точки зрения	7	6
36	по своей	3	6
37	только в	7	6
38	в этой	4	5
39	что в	3	5
40	как бы	22	5
41	в целом	2	5
42	в их	4	5
43	и т.п	17	5
44	и его	10	5
45	между тем	5	5
46	и на	11	5
47	о том	2	5
48	того что	2	4
49	могут быть	2	4
50	с другой	3	4
51	в литературе	6	4
52	большей или	4	4
53	в области	7	4
54	все же	6	4
55	так и	10	4
56	уже не	3	4
57	с точки	3	4
58	или меньшей	4	4
59	с ним	3	4
60	том числе	10	3
61	не могут	3	3
62	с его	5	3
63	и одновременно	5	3
64	и все	5	3
65	в нем	13	3
66	и к	4	3
67	что он	3	3
68	еще не	6	3
69	одной стороны	2	3
70	что не	2	3
71	одним из	2	3
72	он не	2	3
73	о нем	3	3
74	даже в	3	3
75	ни с	2	3
76	с одной	2	3
77	к нему	3	3
78	это всегда	2	3
79	в таком	2	3
80	более того	2	3
81	в наиболее	2	3
82	что мы	2	3
83	разного рода	3	3
84	бы быть	2	3
85	в противоположность	2	2
86	на фоне	3	2
87	на все	2	2
88	никогда не	6	2
89	все эти	10	2
90	не является	3	2
91	из этих	2	2
92	не просто	3	2
93	вовсе не	18	2
94	отрыве от	3	2
95	его к	2	2
96	бы ни	2	2
97	можно сказать	2	2
98	восходящая к	2	2
99	в искусстве	3	2
100	основе своей	2	2
101	и потому	10	2
102	это как	4	2
103	отношение к	4	2
104	для него	5	2
105	от своего	2	2
106	несмотря на	2	2
107	на его	2	2
108	за пределы	8	2
109	при всей	2	2
110	свое время	2	2
111	в ряду	3	2
112	в свое	2	2
113	в отрыве	2	2
114	нет и	2	2
115	не к	2	2
116	из них	4	2
117	в процессе	2	2
118	и до	4	2
119	отношения к	2	2
120	этом отношении	3	2
121	на самом	6	2
122	самом деле	3	2
123	и по	2	2
124	особенно в	2	2
125	роль в	2	2
126	как мы	6	2
127	культуры в	4	2
128	жизни но	2	2
129	нет ничего	3	2
130	в эпизоде	2	2
131	так как	6	2
132	потому что	5	2
133	и с	3	2
134	мира в	3	2
