N	2gram	Propp_Isto_1	EvropaiC
1	таким образом	8	32
2	в том	9	31
3	и в	28	24
4	том что	7	20
5	все эти	4	19
6	не может	15	18
7	то что	9	17
8	может быть	25	15
9	народа в	2	15
10	все же	10	15
11	в своем	5	12
12	до сих	5	12
13	сих пор	5	12
14	в этом	8	12
15	все это	4	11
16	между тем	2	11
17	с этим	4	11
18	отношению к	3	10
19	мы знаем	4	10
20	как бы	2	10
21	по отношению	3	10
22	во всех	2	10
23	так и	9	10
24	на то	4	9
25	при этом	3	9
26	друг с	4	9
27	как и	4	9
28	с другом	3	9
29	что в	12	9
30	не в	9	8
31	так же	7	8
32	если бы	8	8
33	ясно что	2	8
34	не менее	6	7
35	для этого	3	7
36	к тому	6	7
37	но и	10	7
38	и не	9	7
39	и что	10	7
40	по своей	2	7
41	о том	9	7
42	что он	10	7
43	по существу	5	7
44	в силу	5	7
45	или менее	5	7
46	из этого	2	7
47	более или	5	7
48	должна быть	5	6
49	с другой	6	6
50	так что	4	6
51	в этой	6	6
52	того что	4	6
53	и на	4	6
54	так как	6	6
55	с ним	2	6
56	еще не	7	6
57	что и	6	6
58	только в	11	6
59	вместе с	6	6
60	этих народов	2	5
61	именно в	3	5
62	что это	8	5
63	столь же	2	5
64	и от	2	5
65	в пользу	2	5
66	в целом	2	5
67	и их	3	5
68	другой стороны	5	5
69	и с	4	5
70	потому что	4	5
71	его в	6	5
72	но в	8	5
73	к этому	2	5
74	из всех	2	5
75	в то	3	5
76	и если	2	5
77	в его	5	5
78	не только	12	5
79	и для	4	5
80	но все	4	5
81	в себе	2	5
82	как будто	4	5
83	на вопрос	2	4
84	не могут	2	4
85	никогда не	14	4
86	в такой	2	4
87	тем не	6	4
88	в дальнейшем	5	4
89	одним из	2	4
90	из них	3	4
91	в их	3	4
92	не так	2	4
93	то ясно	2	4
94	должно быть	2	4
95	всех этих	2	4
96	между собой	4	4
97	связи с	4	4
98	ни один	6	4
99	социальной жизни	4	4
100	мы должны	13	4
101	он не	2	4
102	не есть	2	4
103	выше мы	3	4
104	то же	12	4
105	а с	2	4
106	если мы	3	4
107	из которых	3	4
108	хотя бы	4	4
109	и конец	2	4
110	в виде	2	4
111	в области	2	4
112	что их	2	3
113	мы будем	5	3
114	же как	2	3
115	с одной	4	3
116	в этих	7	3
117	вопрос о	5	3
118	в тех	2	3
119	для нас	13	3
120	не вполне	2	3
121	это представление	2	3
122	в нем	2	3
123	то ни	2	3
124	и по	3	3
125	а в	7	3
126	это не	7	3
127	в начале	3	3
128	что мы	7	3
129	при помощи	2	3
130	и потому	2	3
131	бы в	2	3
132	с тем	4	3
133	можно назвать	2	3
134	прежде всего	10	3
135	во всем	3	3
136	тот же	2	3
137	конечно не	2	3
138	что если	2	3
139	даже в	4	3
140	должны быть	4	3
141	очень много	3	3
142	в связи	4	3
143	отличие от	2	3
144	не то	4	3
145	же не	3	3
146	в частности	2	2
147	точку зрения	3	2
148	но так	2	2
149	вследствие этого	2	2
150	как мы	3	2
151	для него	2	2
152	что они	5	2
153	на этом	3	2
154	одной стороны	4	2
155	нет в	2	2
156	том чтобы	2	2
157	к ним	4	2
158	в ней	7	2
159	но если	2	2
160	в котором	3	2
161	мы видели	2	2
162	бы то	2	2
163	другими словами	4	2
164	по его	2	2
165	что она	5	2
166	то и	2	2
167	показывают что	5	2
168	они не	4	2
169	ни было	2	2
170	на более	5	2
171	также и	3	2
172	это конечно	3	2
173	на нее	2	2
174	однако это	3	2
175	а для	2	2
176	в основе	4	2
177	борьбы с	2	2
178	он должен	2	2
179	тогда когда	2	2
180	должен быть	3	2
181	вовсе не	2	2
182	на первый	2	2
183	а затем	2	2
184	так чтобы	2	2
185	одна из	2	2
186	но не	5	2
187	было бы	7	2
188	никто не	2	2
189	очень мало	2	2
190	на него	4	2
191	что же	3	2
192	в ту	2	2
193	не более	2	2
194	между ними	2	2
195	этот вопрос	7	2
196	в другом	3	2
197	не знает	5	2
198	рассматривать как	2	2
199	и только	2	2
200	которые могут	3	2
