N	2gram	Ircho_Kome_1	Hudozhes
1	том что	12	16
2	и в	22	14
3	так и	5	13
4	в том	11	12
5	не только	10	12
6	при этом	5	12
7	о том	8	12
8	прежде всего	5	11
9	и т	9	11
10	в этом	3	11
11	в себе	2	11
12	у него	3	9
13	что он	6	9
14	как и	9	9
15	в качестве	4	9
16	то же	6	9
17	как в	5	8
18	то что	2	8
19	же время	4	8
20	отношению к	3	8
21	по отношению	3	8
22	т п	5	8
23	между тем	5	8
24	в этой	7	8
25	в то	10	8
26	в его	5	8
27	ничего не	3	8
28	казалось бы	3	7
29	к тому	6	7
30	не в	6	7
31	еще не	2	7
32	не может	2	7
33	именно в	4	7
34	а в	6	7
35	художественного мышления	2	6
36	что в	6	6
37	было бы	2	6
38	в первой	2	6
39	как правило	3	6
40	не менее	3	5
41	в частности	3	5
42	может быть	9	5
43	только в	3	5
44	но и	11	5
45	во второй	3	5
46	и его	8	5
47	в городе	2	5
48	потому что	5	5
49	ни в	6	5
50	точки зрения	4	5
51	но в	4	5
52	т е	13	4
53	столь же	2	4
54	и все	3	4
55	на то	3	4
56	тем не	2	4
57	в действительности	2	4
58	несмотря на	4	4
59	в самом	2	4
60	и о	3	4
61	один из	5	4
62	из них	10	4
63	как раз	3	4
64	только что	2	4
65	он не	3	4
66	по своей	2	4
67	как будто	2	4
68	в конце	6	4
69	и с	3	4
70	но не	2	3
71	что у	2	3
72	но он	2	3
73	первой половине	2	3
74	же в	4	3
75	идет о	3	3
76	как мы	4	3
77	на этом	2	3
78	по своему	3	3
79	такого рода	6	3
80	еще в	5	3
81	речь идет	3	3
82	даже в	3	3
83	для себя	2	3
84	в нем	4	3
85	все же	3	3
86	со стороны	2	3
87	то и	2	3
88	т д	4	3
89	этом отношении	3	3
90	и даже	5	3
91	и по	6	3
92	в своих	2	3
93	тем что	4	3
94	такой же	2	3
95	и на	3	3
96	в финале	2	3
97	будто бы	2	3
98	его в	3	3
99	а также	4	3
100	едва ли	7	3
101	в рамках	2	2
102	однако в	3	2
103	так в	4	2
104	в себя	2	2
105	ясно что	4	2
106	вопрос о	3	2
107	в следующем	2	2
108	мы знаем	2	2
109	да и	3	2
110	в другом	4	2
111	же как	3	2
112	одна из	2	2
113	а то	2	2
114	в целом	3	2
115	первую очередь	3	2
116	до конца	2	2
117	участие в	4	2
118	одной из	3	2
119	раз в	2	2
120	со своим	5	2
121	на его	5	2
122	в начале	3	2
123	в первую	2	2
124	хотя и	3	2
125	сих пор	2	2
126	на него	4	2
127	в форме	2	2
128	как по	2	2
129	в их	4	2
130	все это	5	2
131	также в	2	2
132	второй половине	2	2
133	и не	8	2
134	там же	3	2
135	в результате	4	2
136	действующих лиц	4	2
137	с ее	2	2
138	не следует	2	2
139	не раз	2	2
140	по адресу	14	2
141	мы не	3	2
142	до сих	2	2
