N	3gram	Vygotskiy__5	Problema
1	в том что	11	9
2	сама по себе	4	8
3	то же самое	4	7
4	и то что	2	7
5	в этом случае	3	5
6	с другой стороны	2	5
7	не может быть	3	5
8	в то время	4	4
9	то время как	4	4
10	потому что он	5	4
11	мы могли бы	6	3
12	можно было бы	3	3
13	о том что	4	3
14	само по себе	2	3
15	именно потому что	2	3
16	заключается в том	5	3
17	и тем более	2	2
18	по сравнению с	5	2
19	с точки зрения	9	2
20	в отличие от	2	2
21	можно сказать что	5	2
22	друг от друга	4	2
23	как мы видели	2	2
24	и в частности	2	2
25	о том как	2	2
26	до сих пор	3	2
27	этой точки зрения	4	2
28	ничего общего с	2	2
29	мы говорим о	2	2
30	это значит что	4	2
