N	2gram	Tiupa_Anal_2	Myshleni
1	и в	16	25
2	в том	12	23
3	на основе	2	22
4	том что	12	20
5	внутренней речи	4	19
6	что в	2	17
7	так же	2	17
8	таким образом	2	17
9	как и	14	15
10	то что	7	15
11	в его	2	15
12	в этом	18	14
13	вместе с	2	14
14	может быть	6	13
15	в целом	8	13
16	в качестве	11	12
17	как бы	10	10
18	и не	12	10
19	того что	2	10
20	было бы	3	10
21	что и	3	10
22	только в	4	10
23	как в	4	9
24	тем что	3	8
25	как мы	3	8
26	речи и	2	8
27	столь же	4	7
28	как это	6	7
29	по себе	2	7
30	не менее	4	6
31	с другой	6	6
32	как уже	3	6
33	не в	4	6
34	совпадает с	4	6
35	один из	2	6
36	не может	4	6
37	и на	6	6
38	представляет собой	8	6
39	но не	4	6
40	того же	4	6
41	не только	16	6
42	в отличие	2	6
43	точки зрения	4	6
44	все это	4	6
45	можно было	3	6
46	отличие от	2	6
47	так и	15	5
48	именно в	3	5
49	тем не	3	5
50	для него	4	5
51	одной стороны	4	5
52	при этом	10	5
53	что она	2	5
54	на этой	2	5
55	с одной	5	5
56	с ее	2	5
57	если бы	3	5
58	и к	5	5
59	о том	7	5
60	как говорит	2	5
61	могут быть	10	5
62	в этой	9	5
63	и т.д	3	5
64	в частности	16	4
65	никогда не	3	4
66	в своем	4	4
67	прежде всего	3	4
68	на то	2	4
69	к тому	7	4
70	что с	2	4
71	не мог	3	4
72	отнюдь не	8	4
73	из них	3	4
74	но и	12	4
75	не столько	3	4
76	а в	3	4
77	сказать что	2	4
78	в то	2	4
79	с ним	2	4
80	мы имеем	3	4
81	и все	3	4
82	еще не	2	4
83	он не	2	4
84	приводит к	3	4
85	речи в	2	4
86	той же	2	4
87	этого слова	3	4
88	в себя	4	3
89	на этом	4	3
90	и сам	3	3
91	в самом	6	3
92	вслед за	2	3
93	имеет место	4	3
94	в котором	2	3
95	и их	2	3
96	другой стороны	2	3
97	по отношению	4	3
98	с ними	3	3
99	этом отношении	3	3
100	в результате	3	3
101	между тем	2	3
102	его в	2	3
103	в случае	2	3
104	состоит в	8	3
105	к этому	2	3
106	или иной	3	3
107	не есть	2	3
108	и слово	2	3
109	место в	3	2
110	то же	4	2
111	в этих	2	2
112	и одновременно	3	2
113	одного из	3	2
114	в один	4	2
115	так что	3	2
116	имеем дело	3	2
117	такого рода	2	2
118	нас к	2	2
119	хотя и	4	2
120	той или	3	2
121	в роли	2	2
122	с той	2	2
123	того и	2	2
124	и другими	2	2
125	может ли	2	2
126	на себя	5	2
127	на его	3	2
128	того или	3	2
129	бы в	3	2
130	между двумя	4	2
131	на котором	2	2
132	и во	2	2
133	в одном	2	2
134	этом смысле	2	2
135	или иного	3	2
136	окружающими его	2	2
137	в таком	2	2
138	все что	2	2
139	с их	2	2
140	иначе говоря	11	2
141	а также	7	2
142	еще в	2	2
143	и особенно	4	2
144	отношению к	4	2
145	в мире	6	2
146	в своей	2	2
147	внимание на	2	2
148	уже не	4	2
149	тем самым	4	2
150	в речи	3	2
151	на этот	2	2
152	едва ли	3	2
153	и для	2	2
154	и его	4	2
155	или в	3	2
156	тому как	3	2
157	и то	3	2
158	вступает в	2	2
159	в себе	7	2
160	в эту	3	2
161	а как	2	2
