N	3gram	Losev_Prob_3	Myshleni
1	в том что	9	11
2	с точки зрения	2	9
3	мы могли бы	3	6
4	по сравнению с	2	5
5	можно сказать что	2	5
6	заключается в том	3	5
7	потому что он	4	5
8	то же самое	7	4
9	в то время	4	4
10	о том что	3	4
11	друг от друга	2	4
12	сама по себе	8	4
13	этой точки зрения	2	4
14	то время как	4	4
15	это значит что	2	4
16	можно было бы	3	3
17	в этом случае	5	3
18	до сих пор	2	3
19	не может быть	5	3
20	и тем более	2	2
21	в отличие от	2	2
22	о том как	2	2
23	мы говорим о	2	2
24	ничего общего с	2	2
25	само по себе	3	2
26	с другой стороны	5	2
27	и в частности	2	2
28	как мы видели	2	2
29	именно потому что	3	2
30	и то что	7	2
