N	2gram	Bakhtin_fo_1	slovoVRo
1	в романе	32	46
2	и в	50	39
3	может быть	11	37
4	и т	8	35
5	и его	16	33
6	т п	8	33
7	то есть	33	26
8	не только	9	24
9	и не	14	22
10	но и	8	21
11	не может	6	20
12	в нем	24	19
13	до конца	4	17
14	все это	4	16
15	в этом	25	16
16	так и	12	15
17	а не	3	14
18	человек и	2	14
19	как в	6	13
20	отличие от	2	13
21	в пределах	5	13
22	в процессе	4	13
23	во всех	6	12
24	в отличие	2	12
25	в истории	2	11
26	вовсе не	13	10
27	к своему	2	9
28	не в	5	9
29	и с	4	9
30	прежде всего	15	8
31	оно не	2	8
32	слова и	2	8
33	таким образом	11	8
34	точки зрения	5	8
35	с его	9	7
36	при этом	3	7
37	для него	2	7
38	еще не	5	7
39	европейского романа	4	7
40	в его	13	7
41	как бы	2	7
42	никогда не	2	7
43	в этих	3	7
44	и потому	3	7
45	и даже	2	7
46	как мы	14	7
47	могут быть	5	7
48	с ним	2	7
49	удельный вес	2	6
50	человек в	3	6
51	в них	4	6
52	и к	2	6
53	все же	6	6
54	как и	8	6
55	в своем	4	6
56	но не	5	6
57	в сущности	3	6
58	жизни и	8	6
59	там где	2	6
60	в значительной	2	6
61	все эти	9	6
62	так сказать	7	6
63	но в	10	6
64	не могут	3	5
65	в быту	3	5
66	с другой	2	5
67	это не	6	5
68	и для	4	5
69	и все	6	5
70	романа и	3	5
71	по себе	2	5
72	для нас	2	5
73	том что	4	5
74	но все	5	5
75	или иной	2	5
76	идеи испытания	4	5
77	одной стороны	2	5
78	только в	4	5
79	в том	9	5
80	античной почве	6	5
81	например в	6	5
82	и их	8	5
83	той или	2	5
84	один из	3	5
85	с одной	3	5
86	человека в	17	5
87	уже не	2	5
88	романа в	5	5
89	героя и	7	5
90	конечно не	4	5
91	поэтому и	3	4
92	всех этих	5	4
93	и др	9	4
94	роман испытания	2	4
95	себя и	3	4
96	на фоне	3	4
97	ни в	8	4
98	отношению к	5	4
99	же время	9	4
100	одна из	2	4
101	на античной	7	4
102	в основном	5	4
103	в новое	3	4
104	на почве	2	4
105	в эпосе	2	4
106	в отношении	3	4
107	по отношению	3	4
108	входит в	3	4
109	отношения к	3	4
110	то же	11	4
111	и других	3	4
112	с помощью	2	4
113	в той	4	4
114	для всех	2	4
115	в таком	3	4
116	а в	3	4
117	с другими	3	4
118	и на	8	4
119	этих романов	5	4
120	в основе	5	4
121	в то	9	4
122	отношение к	2	4
123	его в	3	4
124	здесь не	4	4
125	во всем	2	4
126	так как	6	4
127	или как	4	4
128	в роман	4	3
129	что в	5	3
130	точку зрения	2	3
131	хотя бы	2	3
132	человека и	11	3
133	нем в	2	3
134	в романах	2	3
135	стороны и	2	3
136	здесь в	2	3
137	в свою	2	3
138	что и	3	3
139	связи с	6	3
140	его от	2	3
141	тип авантюрного	2	3
142	у него	6	3
143	и как	10	3
144	с их	2	3
145	в ней	4	3
146	можно прямо	2	3
147	в некоторых	2	3
148	быть и	2	3
149	этом отношении	3	3
150	лишь в	6	3
151	а также	2	3
152	с точки	2	3
153	той же	2	3
154	рядом с	2	3
155	необходимо отметить	2	3
156	сказать что	3	3
157	роман в	4	3
158	прямо сказать	2	3
159	ту же	2	3
160	романе в	2	3
161	в особенности	9	3
162	в чем	2	3
163	авантюрного романа	3	3
164	во всяком	3	3
165	например у	3	2
166	чем в	2	2
167	в данном	2	2
168	уже в	2	2
169	не было	7	2
170	романе и	4	2
171	ни к	3	2
172	и другие	5	2
173	хотя и	3	2
174	в нашем	2	2
175	но она	2	2
176	его и	2	2
177	в xvii	3	2
178	жизни в	8	2
179	но он	2	2
180	и образ	3	2
181	тогда когда	2	2
182	романе не	3	2
183	оно уже	2	2
184	романе как	3	2
185	дальнейшем развитии	2	2
186	влияние на	4	2
187	в себе	3	2
188	мировой литературе	2	2
189	с ее	6	2
190	в одно	3	2
191	в дальнейшем	6	2
192	более того	3	2
193	и нет	2	2
194	со всеми	3	2
195	только и	5	2
196	не входят	2	2
197	мы уже	11	2
198	xvii века	2	2
199	но оно	2	2
200	точном смысле	2	2
201	же и	2	2
202	к ней	2	2
203	благодаря этой	2	2
204	значение в	5	2
205	и проч	4	2
206	сих пор	3	2
207	то что	6	2
208	романа но	4	2
209	дело в	2	2
210	вместе с	3	2
211	те же	2	2
212	в различных	2	2
213	и речи	5	2
214	в их	6	2
215	в форме	3	2
216	кроме того	4	2
217	всем этим	3	2
218	в связи	5	2
219	с этим	6	2
220	в точном	2	2
221	здесь это	3	2
222	именно в	3	2
223	еще более	3	2
224	чем не	3	2
225	на них	2	2
226	на материале	2	2
227	но эта	3	2
228	мы не	3	2
229	они не	3	2
230	вне его	2	2
231	и т.п	4	2
232	авантюрный роман	2	2
233	того чтобы	5	2
234	для того	5	2
235	их целом	2	2
236	роль в	9	2
237	или в	3	2
238	в мировой	2	2
239	конечно и	4	2
240	также и	2	2
241	в результате	6	2
242	в более	2	2
243	автора и	2	2
244	он не	5	2
245	именно как	4	2
246	далеко не	2	2
247	не знает	3	2
248	и вне	3	2
249	как он	2	2
250	здесь как	2	2
251	в одном	3	2
252	до сих	3	2
