N	2gram	Savitsky_P_1	Literetu
1	и не	12	22
2	и в	14	16
3	в мире	2	16
4	не только	17	14
5	но и	6	14
6	в этом	10	14
7	а не	2	12
8	то что	4	12
9	может быть	5	12
10	в том	9	12
11	в частности	2	11
12	хх века	2	11
13	не в	5	10
14	я и	3	10
15	то же	9	9
16	того что	2	9
17	в то	7	9
18	в жизни	2	8
19	том что	4	8
20	в е	2	8
21	не может	4	8
22	как бы	4	8
23	же время	7	7
24	со стороны	2	7
25	тем самым	3	7
26	точки зрения	3	7
27	только в	7	7
28	с другой	5	6
29	в его	2	6
30	в себе	3	6
31	в качестве	9	5
32	это не	3	5
33	в ее	2	5
34	а в	4	5
35	именно в	2	5
36	но не	3	4
37	одной стороны	3	4
38	и если	4	4
39	в начале	2	4
40	хотя и	3	4
41	из них	2	4
42	с одной	3	4
43	пути в	2	4
44	а также	4	4
45	должно быть	2	4
46	том числе	2	3
47	отнюдь не	2	3
48	прежде всего	3	3
49	а я	5	3
50	и как	3	3
51	например в	2	3
52	и к	4	3
53	вслед за	3	3
54	и тем	2	3
55	с точки	3	3
56	как на	2	3
57	потому что	3	3
58	отношения к	2	3
59	в области	11	3
60	но в	9	3
61	между тем	3	3
62	что в	4	2
63	не менее	2	2
64	если бы	4	2
65	быть может	6	2
66	по себе	4	2
67	стороны и	2	2
68	в нем	3	2
69	же в	4	2
70	было бы	6	2
71	во всех	2	2
72	время в	2	2
73	во всей	2	2
74	как раз	2	2
75	и вот	2	2
76	для того	3	2
77	с ними	3	2
78	и с	2	2
79	xix века	6	2
80	и потому	4	2
