N	2gram	Bakhtin_Fr_2	VrazhdaK
1	в году	13	18
2	не только	17	9
3	в этом	15	8
4	и в	49	8
5	но и	13	7
6	что в	2	7
7	то что	6	7
8	и все	3	7
9	в нем	9	6
10	все же	7	6
11	и даже	2	6
12	в романе	9	6
13	как и	11	6
14	в начале	5	6
15	но в	4	6
16	и с	6	6
17	то же	7	5
18	не было	4	5
19	и не	15	5
20	у него	2	5
21	в то	6	5
22	же время	6	5
23	уже в	5	4
24	как бы	11	4
25	все это	9	4
26	целый ряд	2	4
27	что он	3	4
28	так же	2	4
29	с ним	4	4
30	в своих	4	4
31	может быть	5	4
32	при этом	5	4
33	в истории	6	4
34	несмотря на	3	4
35	о том	3	4
36	в ней	2	4
37	в виду	3	4
38	с его	5	3
39	связи с	2	3
40	в своем	5	3
41	и во	4	3
42	в связи	2	3
43	в конце	2	3
44	на то	2	3
45	он был	2	3
46	в том	3	3
47	раз в	3	3
48	и его	17	3
49	том что	4	3
50	тем что	4	3
51	в его	18	3
52	далеко не	3	3
53	но он	6	3
54	и о	4	3
55	одним из	2	3
56	и т.п	11	2
57	место в	3	2
58	в своей	5	2
59	и это	3	2
60	из них	3	2
61	никогда не	5	2
62	вместе с	2	2
63	в них	13	2
64	он пишет	3	2
65	так в	3	2
66	не может	7	2
67	а в	4	2
68	отношения к	4	2
69	таким образом	7	2
70	рядом с	6	2
71	это в	2	2
72	и образы	2	2
73	в одну	2	2
74	но это	2	2
75	там же	2	2
76	году в	4	2
77	очень хорошо	2	2
78	с точки	5	2
79	же в	3	2
80	на основе	2	2
81	этот момент	4	2
82	в этой	10	2
83	их в	3	2
84	точки зрения	6	2
85	в себе	4	2
86	отношение к	8	2
87	для него	9	2
88	еще не	2	2
89	во время	12	2
90	о чем	3	2
91	в мире	2	2
92	одна из	4	2
93	в эту	5	2
94	в него	2	2
