N	2gram	Voloshinov_1	NovoeSre
1	а не	2	17
2	не может	13	16
3	и в	15	16
4	совсем не	5	12
5	и не	16	11
6	и есть	2	10
7	что в	6	9
8	в эпоху	3	9
9	жизни и	5	8
10	он не	4	8
11	в том	4	8
12	как и	6	7
13	в этом	13	7
14	может быть	13	7
15	с его	8	6
16	никогда не	7	6
17	в высшей	2	6
18	не знает	3	6
19	не в	4	6
20	высшей степени	2	6
21	но это	2	6
22	ни в	6	6
23	должен быть	2	5
24	в нем	4	5
25	все это	5	5
26	в жизни	5	5
27	с ее	3	5
28	и к	7	5
29	в ней	5	5
30	не только	5	5
31	не менее	3	4
32	то что	10	4
33	жизни к	3	4
34	большую роль	2	4
35	это не	2	4
36	и все	4	4
37	не было	4	4
38	и для	2	4
39	должно быть	2	4
40	потому что	4	4
41	прежде всего	11	4
42	и потому	8	4
43	но и	4	3
44	не существует	3	3
45	в своей	9	3
46	в истории	3	3
47	жизни в	3	3
48	человека и	6	3
49	во всех	8	3
50	и пр	9	3
51	к тому	4	3
52	что такое	3	3
53	в ее	4	3
54	в основе	3	3
55	смысле слова	2	3
56	конечно не	3	3
57	как в	3	3
58	она не	2	3
59	еще не	7	3
60	за пределы	2	3
61	сказать что	6	3
62	что все	5	2
63	я не	3	2
64	на протяжении	5	2
65	все время	4	2
66	центр тяжести	2	2
67	каждого человека	2	2
68	себя в	2	2
69	у него	3	2
70	вместе с	4	2
71	все они	2	2
72	так и	10	2
73	что она	2	2
74	для этого	4	2
75	мысли и	4	2
76	и т.п	2	2
77	формы и	2	2
78	и было	2	2
79	а в	6	2
80	все эти	9	2
81	думать что	2	2
82	стремление к	2	2
83	уже не	5	2
84	роль в	6	2
85	того чтобы	2	2
86	и даже	2	2
87	хотя бы	7	2
88	но не	5	2
89	мы не	4	2
90	том что	5	2
91	одна из	3	2
92	в обществе	2	2
93	и с	7	2
94	и что	3	2
95	могут быть	6	2
96	с этим	6	2
97	и на	3	2
98	в себе	4	2
99	ведь и	2	2
100	с их	3	2
101	в то	6	2
102	и начинается	2	2
103	в центре	3	2
104	но в	9	2
105	и творчества	2	2
