N	2gram	Losev_Prob_5	Marksizm
1	может быть	7	28
2	и в	30	19
3	как бы	6	19
4	и не	12	19
5	не может	5	18
6	точки зрения	10	17
7	то же	2	16
8	и его	6	16
9	как мы	2	15
10	в этом	17	15
11	таким образом	13	14
12	не только	18	13
13	с точки	8	13
14	связи с	7	13
15	в нем	6	11
16	вовсе не	8	11
17	не в	7	10
18	но и	13	10
19	том что	17	10
20	так и	7	10
21	при этом	4	9
22	как и	7	9
23	самом деле	2	9
24	а не	5	9
25	отнюдь не	4	8
26	по отношению	2	8
27	в то	4	8
28	отношению к	2	8
29	только в	9	8
30	никогда не	7	7
31	в связи	7	7
32	в том	12	7
33	его в	6	7
34	но в	9	7
35	и более	2	7
36	прежде всего	6	7
37	и для	6	7
38	в таком	2	7
39	в смысле	4	6
40	к тому	2	6
41	ни в	4	6
42	и как	6	6
43	в свою	2	6
44	того чтобы	2	6
45	в самом	5	6
46	с помощью	2	6
47	и все	9	6
48	между тем	2	6
49	для того	3	6
50	хотя бы	2	6
51	мы можем	5	6
52	то ни	2	5
53	смысле слова	3	5
54	к нему	3	5
55	так же	5	5
56	и на	6	5
57	к этому	2	5
58	того же	4	5
59	в его	12	5
60	все же	9	5
61	в данном	2	5
62	в отношении	3	4
63	это не	2	4
64	на то	2	4
65	то что	18	4
66	и тем	3	4
67	бы то	2	4
68	и их	5	4
69	того что	3	4
70	сказать что	9	4
71	как раз	5	4
72	что он	7	4
73	было бы	4	4
74	конечно не	2	4
75	для себя	5	4
76	тем же	3	4
77	в себе	4	4
78	ничего не	2	4
79	учение о	3	3
80	в какой	2	3
81	с другой	6	3
82	именно для	4	3
83	да и	2	3
84	в этой	10	3
85	одной стороны	3	3
86	в ней	3	3
87	в котором	2	3
88	а в	6	3
89	с одной	3	3
90	все эти	2	3
91	в другом	3	3
92	о том	12	3
93	так как	6	3
94	таком случае	2	3
95	по себе	2	3
96	в ее	3	3
97	у нас	7	3
98	в качестве	4	3
99	до сих	2	3
100	еще не	3	3
101	не к	2	3
102	он не	3	3
103	и до	2	3
104	что и	6	3
105	не будет	2	3
106	в своей	22	3
107	форму и	2	3
108	и то	5	3
109	во всяком	2	3
110	сих пор	2	3
111	уже в	2	2
112	все время	3	2
113	что в	5	2
114	в одной	2	2
115	иное как	3	2
116	он был	2	2
117	нас не	3	2
118	что они	3	2
119	как о	4	2
120	или вернее	3	2
121	не так	4	2
122	и у	5	2
123	и самого	3	2
124	всяком случае	2	2
125	жизни и	2	2
126	себя самого	2	2
127	в своем	11	2
128	именно в	3	2
129	они не	2	2
130	и даже	14	2
131	но для	2	2
132	и с	5	2
133	по крайней	4	2
134	даже и	4	2
135	он и	5	2
136	и является	2	2
137	в начале	3	2
138	то есть	21	2
139	от этого	3	2
140	у него	11	2
141	значение и	2	2
142	но не	7	2
143	здесь в	2	2
144	и о	5	2
145	крайней мере	4	2
146	и речи	2	2
147	и тогда	2	2
148	бы не	3	2
149	или же	2	2
150	в атмосфере	2	2
151	а с	4	2
152	еще более	3	2
153	здесь как	2	2
154	в значительной	2	2
155	что не	2	2
156	и он	4	2
157	мы не	2	2
158	или в	4	2
159	свидетельствует о	2	2
160	тем что	2	2
161	в виде	10	2
162	далеко не	4	2
163	вместе с	7	2
