N	2gram	Berdyaev_V_1	RusskieA
1	и в	16	36
2	не только	2	22
3	что в	3	19
4	том что	2	19
5	в том	3	17
6	но и	5	16
7	так как	9	15
8	в этом	4	12
9	это не	2	10
10	как и	4	10
11	и т	2	10
12	потому что	4	10
13	т д	2	9
14	а в	2	9
15	с тем	2	8
16	один из	2	8
17	что они	7	7
18	что и	3	7
19	так и	4	7
20	между тем	2	7
21	и не	20	6
22	для нас	2	6
23	в них	3	6
24	уже не	2	6
25	мы не	2	6
26	все это	5	6
27	не имеет	3	6
28	то что	9	6
29	как бы	5	5
30	тому что	3	4
31	в первый	3	4
32	к тому	3	4
33	одна из	2	4
34	еще не	8	4
35	во всех	3	4
36	а с	2	4
37	и что	3	4
38	того что	5	4
39	но это	3	4
40	тем что	2	4
41	только в	2	4
42	для них	2	3
43	по этому	3	3
44	в этих	3	3
45	не с	2	3
46	их в	3	3
47	которые не	2	3
48	что от	2	2
49	не было	3	2
50	до того	2	2
51	могут быть	2	2
52	его и	2	2
53	христа в	3	2
54	и потому	7	2
55	в образе	4	2
56	его к	2	2
57	в нем	4	2
58	в жизни	3	2
59	но не	2	2
60	они и	2	2
61	в прошлом	2	2
62	в ней	4	2
63	в его	4	2
64	как не	3	2
65	к нам	2	2
66	значения и	2	2
67	все эти	3	2
68	а не	7	2
69	и для	3	2
70	с ним	2	2
71	хотя и	5	2
72	на себя	5	2
73	но в	3	2
