N	2gram	Tiupa_Hudo_1	Marksizm
1	может быть	5	28
2	и в	14	19
3	как бы	7	19
4	и не	2	19
5	не может	7	18
6	точки зрения	5	17
7	то же	9	16
8	и его	5	16
9	как мы	3	15
10	в этом	11	15
11	лишь в	3	14
12	так сказать	2	14
13	не только	12	13
14	с точки	3	13
15	связи с	4	13
16	в нем	3	11
17	если бы	3	11
18	не в	7	10
19	в пределах	3	10
20	но и	5	10
21	том что	16	10
22	так и	13	10
23	для него	10	9
24	при этом	12	9
25	как и	9	9
26	самом деле	5	9
27	а не	12	9
28	слова в	2	8
29	отнюдь не	3	8
30	же время	8	8
31	по отношению	8	8
32	в то	8	8
33	с его	5	8
34	отношению к	8	8
35	только в	5	8
36	никогда не	6	7
37	в связи	3	7
38	в том	12	7
39	его в	3	7
40	но в	5	7
41	прежде всего	11	7
42	одна из	2	7
43	на самом	2	7
44	и для	3	7
45	в таком	3	7
46	к тому	7	6
47	ни в	5	6
48	того чтобы	3	6
49	в самом	4	6
50	и все	4	6
51	между тем	8	6
52	мы уже	4	6
53	в форме	2	5
54	в их	2	5
55	и на	3	5
56	к другому	4	5
57	в его	8	5
58	все же	3	5
59	тому что	4	4
60	это не	7	4
61	на то	4	4
62	то что	8	4
63	влияние на	2	4
64	того что	4	4
65	с ними	2	4
66	как раз	4	4
67	что он	9	4
68	было бы	6	4
69	в данной	2	4
70	для себя	3	4
71	этой связи	4	4
72	только на	2	4
73	речь в	2	4
74	в себе	11	4
75	ничего не	8	4
76	перед нами	5	3
77	в этих	5	3
78	столь же	4	3
79	и от	4	3
80	да и	2	3
81	в этой	8	3
82	не имеют	3	3
83	в ней	4	3
84	а в	7	3
85	с этим	3	3
86	все эти	3	3
87	в другом	2	3
88	не имеет	2	3
89	должно быть	2	3
90	для других	2	3
91	не было	4	3
92	о том	12	3
93	по себе	2	3
94	для всего	2	3
95	в ее	3	3
96	в качестве	9	3
97	до сих	2	3
98	еще не	7	3
99	одной из	2	3
100	он не	4	3
101	в своей	10	3
102	только что	4	3
103	на основе	2	3
104	той же	2	3
105	и это	4	3
106	сих пор	2	3
107	что в	6	2
108	в одной	2	2
109	не знает	2	2
110	вопрос о	2	2
111	мы знаем	2	2
112	в следующей	3	2
113	до конца	2	2
114	значительной степени	2	2
115	каждого человека	2	2
116	жизни и	5	2
117	первой главы	4	2
118	в своем	4	2
119	именно в	7	2
120	они не	2	2
121	в системе	2	2
122	следующей главе	3	2
123	и даже	3	2
124	друг друга	5	2
125	не следует	2	2
126	установкой на	2	2
127	и с	4	2
128	но как	2	2
129	в начале	2	2
130	того или	2	2
131	однако и	3	2
132	у него	9	2
133	уже знаем	2	2
134	или иного	2	2
135	но не	3	2
136	внутреннего мира	2	2
137	и о	4	2
138	и потому	2	2
139	себя в	4	2
140	приводит к	3	2
141	а с	2	2
142	в значительной	2	2
143	что не	2	2
144	в речи	2	2
145	и он	5	2
146	мы не	2	2
147	об одном	2	2
148	слова как	2	2
149	как от	2	2
150	тем что	3	2
151	от него	3	2
