N	2gram	Vinokur_Ku_2	Problema
1	то что	9	42
2	вовсе не	9	35
3	и в	23	32
4	и не	16	31
5	не просто	2	23
6	не менее	7	19
7	в этом	18	19
8	тем не	6	18
9	не только	20	17
10	потому что	25	16
11	по себе	10	15
12	а не	10	15
13	как бы	4	14
14	может быть	15	14
15	у нас	12	14
16	но в	11	14
17	и тем	5	13
18	в нем	4	13
19	сказать что	4	13
20	что мы	6	13
21	как раз	3	13
22	что в	10	12
23	а именно	2	12
24	том что	11	12
25	так и	4	12
26	и т	39	11
27	и даже	2	11
28	также и	5	11
29	так как	15	11
30	если мы	4	11
31	то же	6	10
32	прежде всего	8	10
33	в этой	6	10
34	т д	14	10
35	отнюдь не	4	10
36	об этом	5	10
37	ничего не	4	10
38	но не	6	9
39	в том	19	9
40	но и	7	9
41	и что	8	9
42	так же	4	9
43	еще не	5	9
44	что же	5	9
45	того чтобы	11	9
46	в данном	4	9
47	и это	3	9
48	на то	4	8
49	данном случае	2	8
50	не может	9	8
51	все эти	12	8
52	и о	4	8
53	и на	6	8
54	даже и	2	8
55	он и	2	8
56	было бы	15	8
57	в своей	2	8
58	для того	9	8
59	но это	3	8
60	никогда не	2	7
61	ни в	4	7
62	смысле слова	2	7
63	все это	5	7
64	того что	3	7
65	всех этих	3	7
66	в них	4	7
67	и все	2	7
68	что он	5	7
69	как мы	3	7
70	во всяком	5	7
71	тем что	3	7
72	только в	5	7
73	здесь не	3	7
74	и есть	2	6
75	в конце	4	6
76	при этом	2	6
77	в самом	12	6
78	и если	2	6
79	хотя и	4	6
80	в виду	3	6
81	то и	3	6
82	таким образом	5	6
83	это не	6	6
84	и здесь	5	6
85	говорить о	4	6
86	и то	5	6
87	как это	5	6
88	этом смысле	5	6
89	в то	4	6
90	совершенно не	3	6
91	в его	5	6
92	на самом	2	6
93	самом деле	9	6
94	что такое	3	6
95	перед нами	4	5
96	можно ли	4	5
97	в своем	2	5
98	можно сказать	4	5
99	а только	3	5
100	подобного рода	5	5
101	для нас	4	5
102	есть в	3	5
103	что она	3	5
104	еще и	2	5
105	мы должны	2	5
106	с тем	2	5
107	связи с	3	5
108	но уже	2	5
109	все равно	2	5
110	казалось бы	3	4
111	именно в	3	4
112	этот термин	2	4
113	точно так	3	4
114	не в	8	4
115	по поводу	2	4
116	и пр	8	4
117	один из	5	4
118	на том	2	4
119	не говоря	2	4
120	в их	2	4
121	для обозначения	2	4
122	не было	4	4
123	этого термина	2	4
124	или в	4	4
125	а в	3	4
126	ни на	2	4
127	конце концов	3	4
128	иметь в	2	4
129	если бы	12	4
130	же в	3	4
131	и вовсе	2	4
132	никак не	3	4
133	а также	3	4
134	как в	3	4
135	тем самым	2	4
136	и для	2	4
137	вообще и	2	4
138	в связи	4	4
139	и вообще	2	4
140	указание на	3	4
141	только для	2	3
142	уже в	3	3
143	что это	7	3
144	что не	6	3
145	в отношении	2	3
146	с другой	8	3
147	что все	5	3
148	но все	4	3
149	что они	2	3
150	несмотря на	5	3
151	обратить внимание	2	3
152	но для	3	3
153	всяком случае	5	3
154	хотя бы	9	3
155	другой стороны	7	3
156	для этого	3	3
157	смысл и	3	3
158	мы говорим	2	3
159	и его	3	3
160	что оно	3	3
161	в буквальном	2	3
162	в самой	2	3
163	в которых	2	3
164	же и	2	3
165	с этим	3	3
166	точки зрения	14	3
167	и еще	2	3
168	и следовательно	2	3
169	однако и	2	3
170	нисколько не	3	3
171	ясно что	5	3
172	не хочет	2	3
173	о которых	3	3
174	как и	2	3
175	только потому	8	3
176	чтобы понять	2	3
177	того же	3	3
178	мы в	2	3
179	к тому	4	3
180	он не	3	3
181	однако не	4	3
182	себе не	2	3
183	оно не	2	3
184	рабочих и	2	3
185	да и	6	3
186	того как	2	3
187	уже не	8	3
188	не на	2	3
189	на этот	2	3
190	к нему	2	3
191	с точки	8	3
192	что значит	2	3
193	можно было	9	3
194	в каком	4	3
195	как будто	2	3
196	не могут	5	2
197	мы будем	2	2
198	же как	2	2
199	что если	2	2
200	этом случае	2	2
201	в целях	2	2
202	здесь то	2	2
203	но только	4	2
204	крайней мере	6	2
205	следовательно и	2	2
206	это только	2	2
207	но что	2	2
208	так или	2	2
209	говоря уже	2	2
210	на этой	4	2
211	то или	3	2
212	и до	2	2
213	этой области	4	2
214	которых мы	2	2
215	говорим о	2	2
216	не имеет	4	2
217	должно быть	4	2
218	что для	2	2
219	в результате	4	2
220	и с	7	2
221	не как	2	2
222	знаем что	3	2
223	того или	2	2
224	который мы	2	2
225	мы имеем	5	2
226	между тем	6	2
227	сознания и	2	2
228	могут быть	4	2
229	по крайней	6	2
230	или иного	2	2
231	таких случаях	2	2
232	по существу	5	2
233	в качестве	8	2
234	она не	2	2
235	но есть	2	2
236	в сущности	9	2
237	между прочим	2	2
238	по преимуществу	2	2
239	и потому	2	2
240	гораздо более	3	2
241	вместе с	5	2
242	а это	2	2
243	или иначе	3	2
244	не хватает	2	2
245	вопроса о	6	2
246	в таких	3	2
247	в области	11	2
248	не то	2	2
