N	2gram	Bakhtin_Pr_3	Literetu
1	не только	10	24
2	при этом	4	19
3	но и	12	17
4	а не	9	16
5	в том	3	16
6	том что	3	14
7	может быть	19	13
8	и не	29	12
9	в этом	16	12
10	прежде всего	15	11
11	в своем	2	11
12	своего рода	2	11
13	то что	11	10
14	не в	9	8
15	в целом	5	8
16	и в	34	8
17	только в	6	8
18	не менее	3	7
19	я не	7	7
20	в его	22	7
21	как бы	27	7
22	уже не	2	7
23	в себе	6	7
24	я и	2	7
25	в жизни	2	6
26	как и	18	6
27	и сам	5	6
28	того что	5	6
29	точки зрения	8	6
30	с его	6	5
31	с этой	2	5
32	что он	23	5
33	же время	12	5
34	я в	4	5
35	для себя	6	5
36	как в	4	5
37	не может	19	5
38	то же	14	5
39	в отличие	2	5
40	уже в	3	5
41	в то	12	5
42	отличие от	2	5
43	для этого	3	4
44	столь же	2	4
45	это не	5	4
46	о себе	18	4
47	в конце	5	4
48	чужого сознания	3	4
49	с миром	3	4
50	но не	4	4
51	еще не	4	4
52	еще в	3	4
53	все же	7	4
54	из них	5	4
55	в своей	3	4
56	так и	6	4
57	никогда не	8	4
58	лишь в	5	4
59	друг друга	2	4
60	и его	16	4
61	как раз	4	4
62	не как	3	4
63	не было	2	3
64	в душе	2	3
65	что в	7	3
66	с другой	4	3
67	самого себя	2	3
68	при всей	2	3
69	сводится к	3	3
70	да и	4	3
71	что его	3	3
72	в пределах	6	3
73	и прежде	4	3
74	например в	2	3
75	в самом	8	3
76	не мог	5	3
77	у него	4	3
78	же и	2	3
79	один из	2	3
80	жизни и	3	3
81	по отношению	5	3
82	бы не	2	3
83	а в	5	3
84	таким образом	5	3
85	другого в	2	3
86	и даже	7	3
87	той же	2	3
88	потому что	12	3
89	во всяком	5	3
90	нуждается в	3	3
91	он и	5	3
92	к себе	17	3
93	но в	16	3
94	далеко не	3	3
95	его в	4	3
96	в виду	3	3
97	на этом	4	2
98	этого не	3	2
99	а как	2	2
100	обращаясь к	2	2
101	это уже	2	2
102	обращается к	2	2
103	отнюдь не	2	2
104	однако в	2	2
105	у достоевского	13	2
106	та же	2	2
107	подобно тому	2	2
108	раз и	3	2
109	своего героя	2	2
110	в мире	4	2
111	к тому	5	2
112	тем не	2	2
113	тому же	2	2
114	и того	2	2
115	из его	4	2
116	в другом	8	2
117	что я	15	2
118	или иной	2	2
119	того же	2	2
120	для него	13	2
121	было бы	2	2
122	за пределы	2	2
123	на другого	2	2
124	всяком случае	5	2
125	даже в	5	2
126	не является	2	2
127	в нем	19	2
128	отношению к	6	2
129	в сущности	11	2
130	только на	4	2
131	и только	2	2
132	все эти	4	2
133	для вас	2	2
134	от себя	6	2
135	это как	3	2
136	самом деле	13	2
137	что не	7	2
138	что такое	2	2
139	хотя бы	5	2
140	с точки	4	2
141	в слове	5	2
142	тому как	2	2
143	самим собой	6	2
144	и то	3	2
145	между тем	3	2
146	тем что	4	2
147	а вы	2	2
148	самим собою	9	2
149	как будто	7	2
150	о том	2	2
151	как он	3	2
