N	2gram	Vygotskiy__4	Formalny
1	и не	13	30
2	вовсе не	5	28
3	и в	33	27
4	может быть	22	25
5	не может	10	24
6	так и	3	21
7	и его	5	19
8	таким образом	13	18
9	в этом	28	18
10	а не	6	17
11	точки зрения	6	16
12	самом деле	12	16
13	в нем	7	15
14	то же	9	15
15	на самом	6	14
16	как и	5	14
17	с точки	4	14
18	не в	2	12
19	если бы	10	12
20	и от	2	11
21	в самом	12	11
22	в жизни	4	11
23	и т	6	11
24	место в	2	10
25	но и	3	10
26	в действительности	2	9
27	так как	12	9
28	не только	7	9
29	так же	13	9
30	что в	21	8
31	ни в	3	8
32	при этом	2	8
33	в пределах	3	8
34	как бы	25	8
35	и все	12	8
36	то что	44	8
37	как раз	9	8
38	как мы	4	8
39	только в	4	8
40	в том	21	7
41	же время	2	7
42	все это	13	7
43	потому что	24	7
44	в искусстве	2	7
45	в то	3	7
46	его в	3	7
47	с тем	4	7
48	совершенно не	4	7
49	в его	10	7
50	если мы	12	7
51	все время	24	6
52	с другой	2	6
53	всяком случае	3	6
54	т д	2	6
55	все эти	6	6
56	в своих	3	6
57	но в	2	6
58	что он	20	6
59	было бы	12	6
60	все же	5	6
61	в своей	4	6
62	хотя бы	2	6
63	и для	3	6
64	во всяком	3	6
65	и ее	2	6
66	вместе с	8	6
67	никогда не	5	5
68	что именно	3	5
69	что они	6	5
70	того чтобы	22	5
71	не является	2	5
72	другой стороны	2	5
73	материала в	3	5
74	в одной	2	5
75	в ней	6	5
76	и формы	2	5
77	в результате	2	5
78	в художественном	2	5
79	но не	3	5
80	и потому	2	5
81	т п	3	5
82	сводится к	2	5
83	тому как	2	5
84	тем что	3	5
85	связи с	2	5
86	смысла и	4	4
87	уже в	2	4
88	прежде всего	2	4
89	к тому	12	4
90	мы знаем	2	4
91	да и	3	4
92	и как	5	4
93	до конца	7	4
94	для того	23	4
95	и является	2	4
96	бы то	2	4
97	в целом	5	4
98	жизни и	4	4
99	со стороны	2	4
100	смысл и	4	4
101	о том	20	4
102	как это	14	4
103	мы можем	5	4
104	по себе	9	4
105	в ее	2	4
106	том что	22	4
107	она не	3	4
108	конечно не	3	4
109	на ее	2	4
110	как в	3	4
111	мы не	5	4
112	слова и	4	4
113	из этого	5	4
114	же как	3	3
115	бы и	2	3
116	что это	13	3
117	материала и	2	3
118	его и	2	3
119	тому что	6	3
120	в какой	5	3
121	столь же	2	3
122	это не	6	3
123	в конце	8	3
124	те же	2	3
125	можно сказать	2	3
126	для нас	7	3
127	совершается в	2	3
128	того что	4	3
129	она есть	2	3
130	в виду	2	3
131	той же	4	3
132	и что	25	3
133	в которых	3	3
134	и на	5	3
135	никак не	6	3
136	их в	3	3
137	сказать что	13	3
138	и с	2	3
139	в основе	3	3
140	в них	2	3
141	ясно что	5	3
142	у нас	4	3
143	литературы и	2	3
144	же самое	6	3
145	мы уже	5	3
146	во всех	2	3
147	о нем	4	3
148	ее в	4	3
149	дело с	3	3
150	в той	3	3
151	и эта	2	3
152	не на	2	3
153	жизнь и	4	3
154	в себе	6	3
155	в основу	3	2
156	в сторону	3	2
157	а на	2	2
158	для этого	8	2
159	была бы	2	2
160	на все	2	2
161	ее и	2	2
162	как много	2	2
163	всех этих	3	2
164	такой же	2	2
165	в этой	9	2
166	на этом	3	2
167	не можем	3	2
168	с такой	2	2
169	в каких	2	2
170	но если	3	2
171	в котором	2	2
172	был бы	3	2
173	какой бы	3	2
174	нам кажется	2	2
175	он может	2	2
176	из них	4	2
177	для чего	4	2
178	что она	10	2
179	допустим что	2	2
180	в своем	7	2
181	и только	7	2
182	от этих	4	2
183	в самой	6	2
184	одной и	2	2
185	фабула и	2	2
186	увидим что	3	2
187	материал и	2	2
188	знаем что	4	2
189	уже знаем	3	2
190	из этих	2	2
191	говорит эйхенбаум	2	2
192	как он	5	2
193	конце концов	3	2
194	слово в	2	2
195	том как	3	2
196	что ни	2	2
197	с его	2	2
198	нисколько не	5	2
199	только не	2	2
200	смысле этого	3	2
201	из нее	3	2
202	в такой	2	2
203	к этому	4	2
204	на тему	2	2
205	с ее	3	2
206	говорить о	3	2
207	так чтобы	2	2
208	одна из	4	2
209	этот закон	2	2
210	мы увидим	2	2
211	мы должны	6	2
212	кажется что	2	2
213	и из	3	2
214	в сущности	6	2
215	вот как	3	2
216	и сюжет	3	2
217	этого слова	3	2
218	даже в	2	2
219	сами по	3	2
220	с таким	2	2
221	что и	3	2
222	и именно	2	2
223	совершенно непонятно	2	2
224	к самому	2	2
225	художественный прием	2	2
226	бы не	2	2
227	это и	5	2
228	в таком	4	2
229	что этот	3	2
230	слова как	3	2
231	от этого	3	2
232	в каком	8	2
233	и это	5	2
234	героя и	2	2
235	ничего не	2	2
