N	2gram	Bakhtin_sl_2	TeoriaLi
1	не только	24	18
2	и не	22	16
3	а в	4	14
4	и в	39	13
5	может быть	37	12
6	так и	15	12
7	то есть	26	12
8	при этом	7	11
9	в этом	16	11
10	в том	5	11
11	но не	6	10
12	а не	14	10
13	и его	33	10
14	в его	7	9
15	то же	4	9
16	что в	3	8
17	отношению к	4	8
18	но и	21	8
19	по отношению	4	8
20	себя в	8	7
21	в себе	2	7
22	том что	5	7
23	в отличие	12	7
24	в данном	2	7
25	точки зрения	8	7
26	в то	4	7
27	только в	5	7
28	как это	3	7
29	отличие от	13	7
30	с его	7	6
31	же время	4	6
32	еще не	7	6
33	лишь в	3	6
34	как бы	7	6
35	но в	6	6
36	однако в	2	5
37	в своем	6	5
38	или иной	5	5
39	а также	3	5
40	как и	6	5
41	не в	9	5
42	в пределах	13	5
43	в нем	19	5
44	как в	13	5
45	он не	2	5
46	уже не	5	5
47	с другой	5	5
48	между тем	3	5
49	героя и	5	5
50	не менее	4	4
51	не столько	3	4
52	в свою	3	4
53	ни в	4	4
54	более или	2	4
55	то что	2	4
56	отношение к	4	4
57	в форме	2	4
58	или менее	2	4
59	в их	2	4
60	и т.п	2	4
61	не может	20	4
62	в слове	6	4
63	сказать что	3	4
64	хотя и	2	4
65	но он	2	4
66	говорить о	3	4
67	не знает	2	4
68	мира и	5	4
69	слова в	13	3
70	ни к	2	3
71	перед нами	3	3
72	и др	4	3
73	никогда не	7	3
74	в нашем	2	3
75	в этих	7	3
76	в отношении	4	3
77	прежде всего	8	3
78	и к	6	3
79	свою очередь	2	3
80	для него	7	3
81	например в	5	3
82	той или	5	3
83	и потому	7	3
84	на почве	4	3
85	не все	2	3
86	с ее	2	3
87	так в	2	3
88	входит в	4	3
89	таким образом	8	3
90	именно в	2	3
91	в другом	2	3
92	в единое	2	3
93	или в	2	3
94	в основе	4	3
95	речи и	3	3
96	отношении к	4	3
97	его в	4	3
98	все эти	6	3
99	сама по	3	2
100	могут быть	7	2
101	за пределы	2	2
102	себя и	4	2
103	жизни в	2	2
104	это не	5	2
105	на фоне	4	2
106	вовсе не	10	2
107	по себе	5	2
108	что он	2	2
109	но как	2	2
110	и как	3	2
111	одной стороны	5	2
112	в большинстве	6	2
113	к его	2	2
114	слова как	2	2
115	даже в	2	2
116	и особенно	2	2
117	не с	3	2
118	к нему	3	2
119	зрения и	2	2
120	слова не	4	2
121	во всех	12	2
122	вместе с	2	2
123	но она	2	2
124	а именно	2	2
125	здесь не	4	2
126	как к	3	2
127	в романе	46	2
128	мышления и	5	2
129	и для	5	2
130	с одной	5	2
131	это и	2	2
132	в себя	2	2
133	в той	4	2
134	с точки	3	2
135	и даже	7	2
136	и иных	4	2
137	роль в	2	2
138	в мировой	2	2
139	автора и	2	2
140	у него	3	2
141	вокруг него	2	2
142	с языком	2	2
143	и здесь	2	2
144	о том	2	2
145	в чем	3	2
146	отношения к	4	2
147	в области	2	2
148	в состав	3	2
