N	2gram	Berdyaev_O_1	KulturaY
1	потому что	9	25
2	и в	19	23
3	т е	4	22
4	не только	11	20
5	в том	5	19
6	в этом	12	18
7	и не	13	16
8	было бы	3	15
9	так как	2	15
10	может быть	11	15
11	в самом	5	12
12	все эти	4	12
13	том что	2	11
14	того чтобы	4	11
15	но в	2	11
16	что в	4	10
17	по себе	2	10
18	а не	11	10
19	вопрос о	10	9
20	то что	5	9
21	для того	3	9
22	хотя бы	3	9
23	не может	4	9
24	прежде всего	9	8
25	не в	11	8
26	все же	2	7
27	но и	13	7
28	и с	2	7
29	это не	3	6
30	в этой	5	6
31	что не	4	6
32	и на	2	6
33	не могут	3	5
34	что все	2	5
35	что он	3	5
36	еще не	3	5
37	в его	7	5
38	что же	2	5
39	все это	6	5
40	и вот	3	5
41	лишь в	7	5
42	и то	2	5
43	можно ли	2	4
44	к этому	2	4
45	должно быть	2	4
46	хотя и	2	4
47	как бы	3	4
48	в нем	10	4
49	не было	9	4
50	и о	2	4
51	не имеет	2	4
52	сказать что	2	4
53	могут быть	3	4
54	ничего не	2	4
55	так и	2	4
56	чем в	2	3
57	уже в	2	3
58	у него	22	3
59	различие между	3	3
60	до конца	7	3
61	он не	7	3
62	что и	2	3
63	не все	2	3
64	всего в	2	3
65	того что	3	3
66	а в	5	3
67	и его	4	3
68	тем что	2	3
69	к этой	2	3
70	с тем	2	2
71	и есть	3	2
72	никогда не	9	2
73	что у	2	2
74	и от	3	2
75	и все	10	2
76	их не	2	2
77	что они	2	2
78	в самой	9	2
79	в другом	2	2
80	и потому	2	2
81	к нему	3	2
82	в своей	2	2
83	в своем	2	2
84	и для	2	2
85	достоевского и	5	2
86	как и	6	2
87	что для	2	2
88	даже и	2	2
89	в своих	3	2
