N	3gram	Propp_Isto_2	Psycholo
1	в том что	5	12
2	о том что	2	10
3	на то что	2	6
4	и только после	2	5
5	с самого начала	2	5
6	на самом деле	2	5
7	и может быть	2	4
8	что он не	4	4
9	можно было бы	3	4
10	так же как	4	3
11	точно так же	6	3
12	здесь мы видим	2	3
13	с одной стороны	3	3
14	до сих пор	6	3
15	во всех этих	2	2
16	мы видим что	5	2
17	вместе с тем	5	2
18	потому что он	2	2
19	и т д	18	2
20	уже знаем что	2	2
21	с другой стороны	2	2
22	к тому же	2	2
23	вместо того чтобы	2	2
24	мы уже знаем	3	2
