N	2gram	Nazirov_Tv_1	KulturaY
1	и т	3	54
2	т п	2	41
3	и в	21	23
4	в том	7	22
5	не только	7	17
6	в этом	6	16
7	может быть	5	14
8	самом деле	2	14
9	что в	12	13
10	в самом	3	13
11	не менее	6	12
12	потому что	5	12
13	том что	11	11
14	а не	5	11
15	того что	3	11
16	в его	13	11
17	и не	7	10
18	прежде всего	4	9
19	тем не	2	9
20	хотя бы	5	9
21	таким образом	5	9
22	так как	3	9
23	иными словами	2	8
24	уже не	3	8
25	в виду	2	8
26	с другой	3	7
27	в данном	2	7
28	сказать что	2	7
29	что и	2	6
30	что он	6	6
31	тот же	2	6
32	при этом	7	6
33	и тем	2	6
34	так и	2	6
35	в их	3	6
36	не может	4	6
37	то же	13	6
38	могут быть	2	6
39	только в	5	6
40	о том	6	6
41	я не	3	5
42	вовсе не	5	5
43	как и	12	5
44	не в	2	5
45	хотя и	3	5
46	что она	2	5
47	как бы	17	5
48	все же	5	5
49	а в	6	5
50	но это	5	5
51	далеко не	3	5
52	в первом	2	5
53	в чем	2	5
54	один из	4	4
55	в целом	4	4
56	того же	2	4
57	не случайно	4	4
58	в своей	4	4
59	то что	8	4
60	данном случае	2	4
61	как в	8	4
62	в нашей	2	4
63	в своем	4	4
64	тем самым	7	4
65	что не	2	4
66	не столько	2	4
67	уже в	3	3
68	это уже	5	3
69	отнюдь не	5	3
70	это не	4	3
71	на самом	3	3
72	именно в	2	3
73	есть не	2	3
74	xix века	6	3
75	к тому	2	3
76	это и	3	3
77	то в	2	3
78	но не	3	3
79	по преимуществу	2	3
80	он не	8	3
81	но если	3	3
82	был бы	2	3
83	время в	3	3
84	но и	3	3
85	мы находим	2	3
86	не по	3	3
87	в ней	2	3
88	не так	3	3
89	и с	3	3
90	той же	3	3
91	что как	2	3
92	в то	15	3
93	я и	3	3
94	так сказать	2	2
95	такой же	2	2
96	все это	10	2
97	а что	2	2
98	в частности	2	2
99	на том	2	2
100	не означает	2	2
101	что все	3	2
102	это в	3	2
103	можно сказать	2	2
104	и того	2	2
105	и как	4	2
106	в дальнейшем	3	2
107	в качестве	2	2
108	в котором	6	2
109	однако в	2	2
110	своего рода	4	2
111	когда он	2	2
112	вместе с	2	2
113	дело не	3	2
114	мысли и	4	2
115	отношений между	2	2
116	в отличие	2	2
117	как к	2	2
118	только что	2	2
119	еще более	2	2
120	в двух	2	2
121	так же	3	2
122	не знает	2	2
123	ни на	3	2
124	эти слова	2	2
125	на протяжении	3	2
126	в этих	2	2
127	в россии	3	2
128	не то	2	2
129	подхода к	3	2
130	отличие от	2	2
131	но в	7	2
