N	2gram	Medvedev_U_1	Problemy
1	и в	14	35
2	и не	8	27
3	что он	2	24
4	в его	2	21
5	но в	3	19
6	не может	7	18
7	как и	3	18
8	то же	5	15
9	но и	4	14
10	для него	3	14
11	может быть	6	14
12	все это	5	14
13	в этом	7	14
14	прежде всего	8	12
15	и с	2	12
16	в то	3	11
17	не в	2	10
18	самом деле	2	10
19	же время	3	10
20	не только	10	10
21	то что	7	10
22	все же	3	8
23	и для	2	8
24	с его	2	7
25	таким образом	2	7
26	но это	2	6
27	в самом	2	6
28	но не	2	6
29	только в	2	6
30	в конце	2	5
31	в том	2	5
32	и то	3	5
33	в себе	2	5
34	с другой	4	4
35	не о	3	4
36	между тем	2	4
37	как раз	2	4
38	по себе	2	4
39	в своей	3	4
40	а не	10	4
41	и у	2	4
42	тем что	2	4
43	же не	2	4
44	то ни	3	3
45	ни было	3	3
46	бы то	3	3
47	другой стороны	3	3
48	его и	2	3
49	это не	3	3
50	даже и	2	3
51	не как	3	3
52	этом смысле	2	3
53	том что	2	3
54	было бы	3	3
55	конце концов	2	3
56	что и	2	3
57	сводится к	2	3
58	и т.д	3	3
59	ничего не	2	3
60	а между	2	3
61	в сторону	2	2
62	это уже	2	2
63	для этого	3	2
64	что все	2	2
65	а как	2	2
66	всех этих	2	2
67	смысле этого	2	2
68	надо было	2	2
69	материал для	2	2
70	но конечно	2	2
71	должна была	2	2
72	конечно не	4	2
73	бы и	2	2
74	хотя бы	5	2
75	не случайно	2	2
76	это было	2	2
