N	2gram	Bakhtin_Pr_1	Komedia
1	и в	38	26
2	и не	42	14
3	едва ли	3	14
4	так и	5	12
5	и его	16	12
6	в том	8	11
7	может быть	26	11
8	но и	9	10
9	в этом	15	10
10	что в	7	9
11	столь же	2	9
12	том что	3	9
13	если бы	3	9
14	ясно что	3	8
15	было бы	8	8
16	и на	3	7
17	не только	9	7
18	что и	2	7
19	в своем	5	6
20	то что	8	6
21	еще не	7	6
22	в нем	15	6
23	в двух	2	6
24	того чтобы	2	6
25	и здесь	2	6
26	в то	4	6
27	о том	4	6
28	таким образом	10	6
29	с его	2	5
30	независимо от	13	5
31	к этому	2	5
32	что он	2	5
33	ни в	11	5
34	в истории	2	5
35	для того	2	5
36	и с	17	5
37	место в	8	4
38	не менее	4	4
39	в частности	2	4
40	в этих	2	4
41	в них	5	4
42	и от	3	4
43	прежде всего	13	4
44	как мы	7	4
45	как и	7	4
46	в целом	3	4
47	одной из	3	4
48	хотя и	3	4
49	в его	43	4
50	все же	6	4
51	в самом	7	4
52	и для	11	4
53	можно было	4	4
54	точки зрения	8	4
55	в начале	2	4
56	только в	13	4
57	что это	2	4
58	как это	2	4
59	его в	9	4
60	между тем	7	4
61	в каждом	2	3
62	в тех	3	3
63	отношению к	19	3
64	связи с	2	3
65	но не	12	3
66	во всех	11	3
67	же время	3	3
68	здесь в	2	3
69	по поводу	2	3
70	из которых	2	3
71	например в	3	3
72	да и	3	3
73	в ней	4	3
74	в котором	2	3
75	не имеет	9	3
76	себя в	2	3
77	в своей	7	3
78	в их	10	3
79	все это	3	3
80	по отношению	21	3
81	дело с	6	3
82	в связи	2	3
83	то же	5	3
84	не было	2	3
85	как в	4	3
86	в самой	2	3
87	к нему	10	3
88	а в	6	3
89	или в	2	3
90	человека в	2	3
91	тем что	2	3
92	не может	27	3
93	но в	4	3
94	мы можем	6	3
95	ни было	3	2
96	и другие	2	2
97	и есть	2	2
98	отнюдь не	19	2
99	в нашем	4	2
100	не всегда	6	2
101	то ни	3	2
102	в какой	2	2
103	с другой	7	2
104	это не	5	2
105	этом смысле	3	2
106	вовсе не	2	2
107	нет и	3	2
108	и к	3	2
109	в ее	4	2
110	не в	7	2
111	одна из	2	2
112	чем в	2	2
113	на этом	2	2
114	бы то	3	2
115	одной стороны	3	2
116	ни одна	2	2
117	он не	3	2
118	как бы	22	2
119	от ее	2	2
120	не вполне	2	2
121	не является	3	2
122	хотя бы	4	2
123	и т	14	2
124	и это	3	2
125	в мире	3	2
126	отношение к	10	2
127	в отличие	5	2
128	т п	13	2
129	с одной	3	2
130	и что	2	2
131	не более	2	2
132	от всех	4	2
133	и у	2	2
134	в других	4	2
135	рядом с	5	2
136	отличие от	5	2
137	с ними	4	2
138	не следует	2	2
139	и во	2	2
140	и ее	2	2
141	к его	2	2
142	говорить о	3	2
143	и все	3	2
144	мы имеем	2	2
145	в виду	4	2
