N	3gram	Trubetskoy_1	EvropaiE
1	с точки зрения	8	16
2	в то же	2	15
3	то же время	2	14
4	с одной стороны	2	8
5	равноценности и качественной	2	7
6	и качественной несоизмеримости	2	6
7	в том что	15	6
8	так же как	3	5
9	для того чтобы	7	5
10	то ни было	2	4
11	бы то ни	2	4
12	заключает в себе	2	3
13	во всяком случае	2	3
14	друг с другом	9	3
15	по сравнению с	5	2
16	в свою очередь	2	2
17	с течением времени	4	2
18	в данном случае	3	2
19	друг от друга	6	2
20	на то что	7	2
21	с другой стороны	4	2
22	заключается в том	2	2
23	тех народов которые	2	2
24	не может быть	3	2
