N	2gram	Tiupa_Teor_1	Psycholo
1	в том	16	37
2	и в	18	32
3	и что	3	22
4	том что	9	21
5	то что	3	21
6	таким образом	3	21
7	в искусстве	6	21
8	потому что	3	21
9	то есть	12	21
10	что в	9	20
11	так же	2	18
12	может быть	17	18
13	что и	2	17
14	не может	4	17
15	точки зрения	9	17
16	что она	2	16
17	при этом	12	13
18	то же	7	13
19	в этом	8	13
20	если мы	2	12
21	в самом	4	12
22	не только	16	12
23	заключается в	2	12
24	в основе	3	11
25	как и	4	10
26	но и	9	10
27	и не	13	10
28	с точки	3	10
29	никогда не	4	9
30	как в	5	9
31	не менее	4	8
32	не в	7	8
33	того что	4	8
34	на деле	2	8
35	к тому	2	7
36	и как	2	7
37	а не	9	7
38	говорит что	2	7
39	все эти	2	7
40	в стихе	2	7
41	и его	8	7
42	сказать что	3	7
43	как будто	2	7
44	только в	6	7
45	в этой	3	6
46	он не	3	6
47	как бы	5	6
48	в художественном	3	6
49	если бы	3	6
50	художественного произведения	4	5
51	искусства в	2	5
52	отнюдь не	3	5
53	искусства но	3	5
54	вслед за	2	5
55	далеко не	2	5
56	все это	2	5
57	как раз	2	5
58	и даже	2	5
59	в то	6	5
60	из которого	3	4
61	столь же	2	4
62	в жизни	2	4
63	тем не	3	4
64	как это	8	4
65	а на	3	4
66	иначе говоря	4	4
67	произведения искусства	2	4
68	и по	2	4
69	и тем	3	4
70	в нем	4	4
71	данном случае	5	4
72	а в	13	4
73	мы имеем	7	4
74	и для	2	4
75	в данном	8	4
76	о ней	2	4
77	тому что	2	4
78	могут быть	4	4
79	в целом	3	4
80	и это	2	4
81	в произведении	3	4
82	между тем	5	4
83	по своему	2	3
84	не могут	2	3
85	состоит в	17	3
86	в частности	16	3
87	конечном счете	6	3
88	искусства если	2	3
89	но он	3	3
90	с другой	7	3
91	в конце	2	3
92	и к	3	3
93	а только	3	3
94	об этом	2	3
95	как говорит	3	3
96	в свою	3	3
97	к области	2	3
98	мы в	2	3
99	в своей	6	3
100	может служить	2	3
101	один из	2	3
102	с ее	3	3
103	так и	10	3
104	и ее	3	3
105	в их	2	3
106	в отношении	3	3
107	и вот	3	3
108	в конечном	6	3
109	как к	2	3
110	и то	2	3
111	в поэзии	2	3
112	отношении к	2	3
113	того или	3	3
114	но в	9	3
115	в виду	5	3
116	это было	2	3
117	в узком	3	2
118	слова в	2	2
119	место в	5	2
120	этих двух	2	2
121	есть как	2	2
122	с его	5	2
123	казалось бы	2	2
124	к действительности	3	2
125	искусства как	2	2
126	в них	2	2
127	в какой	2	2
128	это не	2	2
129	одного и	3	2
130	с другими	5	2
131	в одном	2	2
132	была бы	3	2
133	или иного	3	2
134	сводится к	5	2
135	и здесь	2	2
136	ни в	2	2
137	в романе	3	2
138	же время	5	2
139	всякий раз	2	2
140	свою очередь	2	2
141	еще не	4	2
142	но не	9	2
143	в глаза	2	2
144	того же	3	2
145	роман и	2	2
146	вовсе не	3	2
147	в его	6	2
148	не вполне	2	2
149	если в	2	2
150	в ее	5	2
151	в этих	3	2
152	отношение к	5	2
153	сводятся к	2	2
154	вместе с	2	2
155	отличается от	2	2
156	так в	4	2
157	не на	2	2
158	другой стороны	5	2
159	а с	3	2
160	роль в	2	2
161	в самой	2	2
162	отличие от	6	2
163	художественного впечатления	5	2
164	их в	3	2
165	имеем в	3	2
166	в себе	9	2
167	может оказаться	2	2
168	могли бы	2	2
169	эстетического объекта	2	2
170	в которой	2	2
171	к которому	3	2
