N	2gram	Propp_Russ_2	Formalny
1	т е	24	34
2	и в	29	24
3	прежде всего	2	22
4	и пр	2	17
5	не может	5	16
6	в этом	11	15
7	может быть	13	14
8	таким образом	6	13
9	и т	5	12
10	не менее	2	11
11	как и	11	11
12	должно быть	2	11
13	в своей	2	11
14	в их	2	11
15	и ее	2	10
16	то же	4	10
17	а не	4	10
18	все это	10	9
19	в то	2	9
20	в ее	3	8
21	именно в	4	8
22	то что	5	8
23	как в	7	8
24	т д	5	8
25	и на	6	8
26	не в	4	8
27	и с	10	8
28	и от	3	7
29	до конца	3	7
30	не только	10	7
31	но и	8	7
32	на самом	2	7
33	и все	4	6
34	было бы	3	6
35	в том	22	6
36	в этой	3	6
37	она не	3	6
38	еще не	6	6
39	как бы	18	6
40	а в	9	6
41	все эти	3	6
42	как это	4	6
43	должен быть	2	5
44	у нас	4	5
45	при этом	6	5
46	во всех	3	5
47	как мы	3	5
48	того что	3	5
49	с другой	2	5
50	но в	5	5
51	главным образом	3	4
52	никогда не	2	4
53	с другими	3	4
54	для этого	5	4
55	одной стороны	2	4
56	так же	4	4
57	что в	22	4
58	с одной	2	4
59	друг друга	3	4
60	в которой	2	4
61	с этой	2	4
62	но не	5	3
63	связи с	2	3
64	в них	4	3
65	это и	2	3
66	и как	2	3
67	а н	3	3
68	если он	2	3
69	один из	2	3
70	все же	2	3
71	же в	6	3
72	влияние на	2	3
73	или же	5	3
74	не было	2	3
75	и других	3	3
76	мы не	6	3
77	его в	8	3
78	у них	2	3
79	жизнь и	2	3
80	же как	4	2
81	с тем	6	2
82	жизни в	2	2
83	это не	5	2
84	с этим	2	2
85	вопрос о	4	2
86	в году	3	2
87	не можем	2	2
88	том чтобы	2	2
89	здесь в	2	2
90	все в	2	2
91	нас не	2	2
92	уже не	4	2
93	по существу	4	2
94	мы видели	7	2
95	одна из	11	2
96	из воды	5	2
97	только как	2	2
98	своей книге	2	2
99	к ней	2	2
100	в него	2	2
101	еще в	2	2
102	не с	2	2
103	что и	2	2
104	вместе с	6	2
105	эта связь	2	2
106	ее к	2	2
107	прав когда	2	2
108	и что	5	2
109	для этой	3	2
110	между тем	3	2
111	или на	8	2
112	в своих	2	2
113	во всем	2	2
114	на нее	6	2
115	в эту	3	2
116	ее от	2	2
