N	2gram	Tiupa_Narr_1	FransuaR
1	и в	11	29
2	то есть	9	21
3	и не	23	16
4	и все	3	13
5	в этой	6	13
6	как и	13	12
7	и т.п	8	12
8	но в	7	12
9	так и	5	11
10	и на	5	11
11	в этом	12	11
12	то же	8	10
13	как мы	2	10
14	в романе	2	10
15	в то	4	10
16	не только	31	10
17	в конце	2	9
18	но и	27	9
19	и с	3	9
20	же время	4	8
21	прежде всего	4	8
22	в его	6	8
23	и его	10	8
24	как бы	6	8
25	этого эпизода	3	7
26	в том	8	7
27	из них	4	6
28	в сущности	2	6
29	своего рода	10	6
30	у него	7	5
31	это не	3	5
32	до конца	2	5
33	и о	3	5
34	в нем	4	5
35	в своей	5	5
36	сказать что	2	5
37	он и	2	5
38	перед нами	5	4
39	но они	3	4
40	с его	4	4
41	в нашем	3	4
42	в литературе	4	4
43	что он	3	4
44	по своему	2	4
45	еще не	4	4
46	один из	6	4
47	то что	9	4
48	жизни и	6	4
49	с другой	2	4
50	также и	3	4
51	в результате	2	4
52	точки зрения	5	4
53	тому как	3	3
54	в частности	14	3
55	в качестве	14	3
56	в своем	3	3
57	с ее	2	3
58	что у	4	3
59	все же	4	3
60	но как	3	3
61	том что	7	3
62	и как	3	3
63	то в	4	3
64	мы можем	2	3
65	того что	4	3
66	он не	3	3
67	к нему	4	3
68	начала и	3	3
69	здесь не	2	3
70	другой стороны	2	3
71	при этом	19	3
72	в году	2	3
73	и вот	2	3
74	того чтобы	4	3
75	для того	3	3
76	и даже	2	3
77	особенно в	2	3
78	роль в	2	3
79	с ними	2	3
80	в ней	4	3
81	подобно тому	3	3
82	в себе	6	3
83	в чем	2	3
84	времени и	9	2
85	связи с	2	2
86	в этих	2	2
87	жизни в	2	2
88	в жизни	3	2
89	к тому	6	2
90	о его	2	2
91	да и	2	2
92	соответствии с	4	2
93	именно в	3	2
94	но не	4	2
95	о своей	2	2
96	как известно	3	2
97	не может	8	2
98	о чем	4	2
99	может быть	15	2
100	хотя и	4	2
101	никогда не	4	2
102	уже не	8	2
103	а также	6	2
104	если в	2	2
105	со стороны	8	2
106	раз в	2	2
107	и для	2	2
108	себя в	2	2
109	его и	2	2
110	как в	4	2
111	где они	2	2
112	как раз	6	2
113	в особенности	2	2
114	в той	2	2
115	между ними	2	2
116	друг друга	2	2
117	в слове	3	2
118	или в	6	2
119	не мог	6	2
120	и то	3	2
121	их в	3	2
122	еще раз	3	2
123	как будто	3	2
124	только в	12	2
125	один и	2	2
126	о том	4	2
127	дело в	2	2
128	в эпизоде	4	2
129	так сказать	2	2
130	с ним	2	2
