N	2gram	Nazirov_Tv_2	Istorich
1	и в	20	26
2	так как	3	18
3	никогда не	11	13
4	потому что	7	13
5	что в	7	12
6	таким образом	10	12
7	в том	8	12
8	и на	5	12
9	в этом	8	12
10	связь с	2	11
11	может быть	8	11
12	с другой	2	10
13	в образе	3	10
14	том что	4	10
15	и т	13	10
16	и не	9	10
17	не только	13	10
18	представление о	7	9
19	что он	6	9
20	еще не	5	9
21	но и	8	9
22	в нем	3	8
23	все же	5	8
24	вместе с	3	8
25	другой стороны	2	8
26	т д	11	8
27	все эти	4	8
28	и это	3	8
29	с ним	3	8
30	превращается в	3	7
31	уже не	3	7
32	например в	5	7
33	и его	9	7
34	у него	6	7
35	о том	5	7
36	но в	4	7
37	то что	3	6
38	как в	4	6
39	так в	2	6
40	не может	7	6
41	в виде	2	6
42	и с	8	6
43	в русской	2	6
44	мы не	4	6
45	за собой	4	5
46	у нас	2	5
47	как и	6	5
48	мы видим	4	5
49	в его	10	5
50	так и	6	5
51	то же	7	5
52	и что	2	5
53	тем что	3	5
54	в то	10	5
55	только в	2	5
56	его в	3	5
57	это не	7	4
58	прежде всего	8	4
59	зависит от	2	4
60	но это	5	4
61	до сих	3	4
62	на его	4	4
63	как бы	11	4
64	сих пор	3	4
65	на землю	2	4
66	и он	2	4
67	и по	2	4
68	при помощи	2	3
69	и ее	2	3
70	если бы	4	3
71	в частности	2	3
72	могут быть	2	3
73	и от	4	3
74	в одном	2	3
75	если он	5	3
76	к этому	3	3
77	так что	2	3
78	не в	4	3
79	такой же	2	3
80	только через	2	3
81	же как	3	3
82	так например	3	3
83	показывает что	4	3
84	наряду с	7	3
85	один из	3	3
86	когда он	4	3
87	в своей	6	3
88	из этого	2	3
89	что она	4	3
90	и через	3	3
91	а в	4	3
92	при этом	8	3
93	и других	2	3
94	там же	9	3
95	и наконец	2	3
96	в своих	3	3
97	их в	2	3
98	и только	2	3
99	в себе	3	3
100	не было	2	3
101	с этой	3	2
102	все время	2	2
103	что у	4	2
104	не означает	2	2
105	влечет за	2	2
106	в одной	3	2
107	вовсе не	2	2
108	сводится к	2	2
109	по отношению	3	2
110	в античной	3	2
111	что они	4	2
112	одна из	3	2
113	как у	3	2
114	но не	5	2
115	так же	5	2
116	на западе	3	2
117	героя в	4	2
118	и сам	5	2
119	не так	2	2
120	него в	2	2
121	где нет	2	2
122	всяком случае	2	2
123	и др	3	2
124	отношению к	3	2
125	своего рода	3	2
126	но эти	2	2
127	на него	2	2
128	тогда как	3	2
129	он не	3	2
130	а с	3	2
131	человека в	3	2
132	в лице	4	2
133	тем самым	4	2
134	а не	6	2
135	что не	3	2
136	известно что	2	2
137	всему миру	2	2
138	что этот	2	2
139	с ними	2	2
140	во всяком	2	2
141	и далее	2	2
142	в руки	2	2
143	в которых	3	2
144	в этой	5	2
145	ничего не	4	2
146	же не	2	2
