N	2gram	Bakhtin_Pr_3	DiskursI
1	в себе	6	19
2	при этом	4	17
3	и в	34	16
4	может быть	19	16
5	как и	18	16
6	в этом	16	16
7	и не	29	15
8	а не	9	14
9	в отличие	2	12
10	отличие от	2	12
11	в мире	4	11
12	но и	12	11
13	но в	16	11
14	том что	3	10
15	не только	10	10
16	своего рода	2	10
17	так и	6	9
18	не может	19	9
19	в том	3	8
20	как в	4	8
21	не менее	3	7
22	прежде всего	15	7
23	в нем	19	7
24	ни в	4	7
25	но не	4	7
26	при всей	2	7
27	с его	6	6
28	отнюдь не	2	6
29	еще не	4	6
30	все же	7	6
31	в своей	3	6
32	то же	14	6
33	а с	3	5
34	что в	7	5
35	в своем	2	5
36	с другой	4	5
37	же время	12	5
38	для него	13	5
39	героя в	5	5
40	то что	11	5
41	и на	6	5
42	в то	12	5
43	я в	4	5
44	в одном	5	4
45	в пределах	6	4
46	как бы	27	4
47	отношению к	6	4
48	по отношению	5	4
49	потому что	12	4
50	точки зрения	8	4
51	и то	3	4
52	о том	2	4
53	не является	2	4
54	я и	2	4
55	в них	2	3
56	столь же	2	3
57	это не	5	3
58	и все	19	3
59	было в	2	3
60	или иной	2	3
61	уже не	2	3
62	и того	2	3
63	и как	3	3
64	не в	9	3
65	например в	2	3
66	он не	15	3
67	той или	2	3
68	в его	22	3
69	еще в	3	3
70	в котором	3	3
71	мире и	2	3
72	из них	5	3
73	жизни и	3	3
74	и ее	2	3
75	не было	2	3
76	все эти	4	3
77	внутренней речи	4	3
78	и наконец	5	3
79	как на	2	3
80	и его	16	3
81	но это	4	3
82	всей своей	2	3
83	в другом	8	3
84	не знает	6	3
85	как будто	7	3
86	только в	6	3
87	его в	4	3
88	в творчестве	3	3
89	другого в	2	2
90	ну как	2	2
91	никогда не	8	2
92	в большинстве	2	2
93	и другого	3	2
94	в целом	5	2
95	это в	2	2
96	вследствие этого	2	2
97	этом случае	2	2
98	с таким	4	2
99	в той	2	2
100	что он	23	2
101	а к	2	2
102	такой же	3	2
103	того же	2	2
104	отношение к	6	2
105	о чем	2	2
106	в ней	3	2
107	далеко не	3	2
108	рассказа в	8	2
109	для себя	6	2
110	не с	2	2
111	что и	5	2
112	с ее	3	2
113	с точки	4	2
114	слова не	2	2
115	вместе с	4	2
116	что же	8	2
117	и прежде	4	2
118	входит в	2	2
119	я как	2	2
120	чем не	2	2
121	себе самому	18	2
122	к своему	5	2
123	сводится к	3	2
124	все это	16	2
125	другой стороны	3	2
126	речи в	2	2
127	и для	8	2
128	должно быть	3	2
129	а в	5	2
130	той же	2	2
131	тому как	2	2
132	совпадает с	2	2
133	их в	3	2
134	пока еще	2	2
135	и с	15	2
136	не о	4	2
137	подобно тому	2	2
138	стремится к	6	2
139	говорить о	3	2
140	рассказ в	2	2
141	и это	4	2
142	в записках	3	2
143	между тем	3	2
