N	2gram	Bakhtin_sl_1	Istorich
1	и в	41	25
2	и т	28	20
3	т д	5	18
4	может быть	14	17
5	не только	16	13
6	но и	16	13
7	в его	13	12
8	и не	16	11
9	уже не	2	11
10	так как	3	11
11	все же	7	10
12	в этом	12	10
13	с другой	5	9
14	его в	3	9
15	и его	14	9
16	таким образом	9	9
17	в виде	2	9
18	связи с	2	8
19	том что	2	8
20	мы видим	2	8
21	еще не	4	8
22	связь с	2	8
23	другой стороны	4	8
24	все эти	9	8
25	и на	14	8
26	в частности	2	7
27	в качестве	3	7
28	как и	4	7
29	этом случае	2	7
30	одной стороны	4	7
31	в нем	30	7
32	с одной	4	7
33	потому что	2	7
34	и здесь	3	7
35	только в	6	7
36	о том	3	7
37	в этих	2	6
38	это не	6	6
39	прежде всего	8	6
40	себя в	9	6
41	как в	8	6
42	не может	14	6
43	не в	7	6
44	или в	8	6
45	могут быть	19	6
46	в том	3	6
47	там где	4	6
48	с этим	3	5
49	как мы	8	5
50	для нас	2	5
51	но не	2	5
52	например в	2	5
53	в ней	4	5
54	в него	3	5
55	так же	2	5
56	входит в	4	5
57	мы не	2	5
58	не как	4	4
59	что все	2	4
60	и тем	2	4
61	с другими	5	4
62	в ее	2	4
63	мы уже	2	4
64	в пределах	14	4
65	же как	2	4
66	в основном	3	4
67	все это	5	4
68	то же	14	4
69	в истории	3	4
70	от этого	2	4
71	он не	3	4
72	в которой	4	4
73	с ним	7	4
74	в другой	2	3
75	никогда не	3	3
76	и все	4	3
77	в целом	2	3
78	нем и	3	3
79	в свою	3	3
80	в то	14	3
81	но эти	3	3
82	но оно	3	3
83	на том	2	3
84	о нем	4	3
85	и др	14	3
86	на этом	2	3
87	в особенности	8	3
88	для того	2	3
89	к нему	5	3
90	друг друга	3	3
91	а в	6	3
92	в данном	3	3
93	и с	4	3
94	и вообще	2	3
95	перед нами	4	2
96	ли он	4	2
97	у него	3	2
98	связанные с	3	2
99	он может	2	2
100	его и	3	2
101	формы и	3	2
102	к этому	2	2
103	вовсе не	7	2
104	а как	2	2
105	можно сказать	2	2
106	так что	2	2
107	с этой	3	2
108	по существу	3	2
109	мы и	2	2
110	без всяких	2	2
111	одна из	2	2
112	а на	2	2
113	того же	6	2
114	до сих	2	2
115	она не	3	2
116	и сам	3	2
117	друг с	2	2
118	одним из	4	2
119	как бы	12	2
120	и потому	4	2
121	как таковые	3	2
122	даже в	2	2
123	один из	4	2
124	сих пор	2	2
125	в своей	7	2
126	во всех	17	2
127	с ней	2	2
128	данном случае	3	2
129	совершенно не	2	2
130	с которым	2	2
131	язык и	10	2
132	и для	4	2
133	и других	3	2
134	а не	15	2
135	того что	3	2
136	и по	2	2
137	в других	3	2
138	роль в	2	2
139	так в	2	2
140	то в	2	2
141	сказать что	2	2
142	образом в	3	2
143	но он	2	2
144	точки зрения	16	2
145	ту же	4	2
146	из них	3	2
147	с другом	2	2
148	в свое	3	2
149	и этим	3	2
150	ничего не	4	2
151	все его	4	2
152	из него	2	2
