N	2gram	Trubetskoy_1	StatiiOP
1	и в	14	29
2	том что	9	27
3	в том	17	27
4	в этом	17	21
5	но и	10	19
6	что в	4	19
7	не только	9	19
8	о том	7	17
9	что он	6	13
10	в его	4	13
11	то что	13	11
12	все это	6	11
13	к тому	7	10
14	таким образом	11	10
15	в своем	6	9
16	и т	3	9
17	и не	19	9
18	как на	8	9
19	потому что	5	9
20	он не	5	9
21	но в	2	8
22	с тем	6	7
23	в самом	3	7
24	в ней	2	7
25	в котором	2	7
26	в своей	5	7
27	вместе с	4	7
28	тому что	2	7
29	для того	6	7
30	вопрос о	5	6
31	до сих	5	6
32	все же	4	6
33	в течение	2	6
34	и что	2	6
35	факт что	2	6
36	того чтобы	8	6
37	и на	5	6
38	прежде всего	8	5
39	в качестве	3	5
40	было бы	5	5
41	как бы	4	5
42	сих пор	5	5
43	а не	2	5
44	того что	3	5
45	между тем	5	5
46	точки зрения	11	5
47	речь идет	2	4
48	именно в	3	4
49	в частности	2	4
50	тот факт	2	4
51	разумеется что	2	4
52	не в	4	4
53	для него	6	4
54	и к	6	4
55	и о	2	4
56	в нем	5	4
57	в другом	3	4
58	связи с	3	4
59	и с	7	4
60	что это	3	3
61	в этих	2	3
62	с этим	2	3
63	на себя	2	3
64	с нею	3	3
65	по себе	2	3
66	ни в	2	3
67	так что	2	3
68	но это	2	3
69	в начале	2	3
70	но не	4	3
71	одной из	3	3
72	никогда не	5	3
73	и даже	2	3
74	всяком случае	6	3
75	из них	3	3
76	самом деле	7	3
77	в их	4	3
78	вряд ли	3	3
79	а с	2	3
80	не было	3	3
81	тем что	3	3
82	на самом	6	3
83	и сейчас	3	3
84	за то	2	3
85	и по	3	3
86	хотя бы	5	3
87	так же	2	3
88	во всяком	9	3
89	отношении к	2	3
90	в россии	6	3
91	во время	2	2
92	и более	2	2
93	если бы	6	2
94	по этому	2	2
95	что с	2	2
96	если не	2	2
97	в конце	3	2
98	бы ни	2	2
99	что и	3	2
100	о которых	3	2
101	не должен	2	2
102	по существу	5	2
103	как и	4	2
104	то ни	4	2
105	и как	3	2
106	в этой	4	2
107	что они	3	2
108	в то	10	2
109	несмотря на	3	2
110	может быть	9	2
111	только к	3	2
112	том же	2	2
113	и потому	3	2
114	на то	5	2
115	на почве	2	2
116	только в	5	2
117	ее в	2	2
118	бы то	4	2
119	не к	2	2
120	в некоторых	2	2
121	со стороны	4	2
122	или менее	4	2
123	совершенно не	2	2
124	не может	22	2
125	тогда как	2	2
126	то же	11	2
127	все эти	2	2
128	при этом	5	2
129	более или	4	2
130	в значительной	3	2
131	что такое	2	2
132	с точки	9	2
133	и те	2	2
134	в данном	7	2
135	в результате	2	2
136	в себе	9	2
137	этот вопрос	2	2
138	на это	2	2
139	его в	4	2
140	так как	4	2
141	только с	2	2
142	отметить что	2	2
143	в области	2	2
