N	2gram	Nazirov_Tv_2	Narrotol
1	не только	13	26
2	а не	6	17
3	но и	8	15
4	тогда как	3	15
5	в том	8	14
6	при этом	8	14
7	и не	9	14
8	том что	4	13
9	и в	20	13
10	в этом	8	13
11	в частности	2	11
12	только в	2	11
13	может быть	8	10
14	своего рода	3	9
15	так и	6	9
16	сводится к	2	9
17	а в	4	9
18	то есть	5	9
19	то что	3	8
20	в себе	3	8
21	не может	7	8
22	не в	4	8
23	никогда не	11	6
24	прежде всего	8	6
25	в его	10	6
26	жизни в	3	6
27	героя в	4	6
28	все же	5	6
29	у него	6	6
30	как бы	11	6
31	ничего не	4	6
32	но в	4	6
33	место в	3	5
34	не столько	2	5
35	что он	6	5
36	хотя и	4	5
37	он не	3	5
38	в котором	3	5
39	я не	2	5
40	в нем	3	5
41	отношению к	3	5
42	на него	2	5
43	как в	4	5
44	по отношению	3	5
45	в отличие	2	5
46	таким образом	10	5
47	тем самым	4	5
48	с другой	2	5
49	отличие от	2	5
50	в то	10	5
51	о том	5	5
52	не менее	2	4
53	если бы	4	4
54	отнюдь не	4	4
55	в конце	6	4
56	в литературе	2	4
57	об этом	4	4
58	тому же	2	4
59	как и	6	4
60	как у	3	4
61	у нее	3	4
62	что в	7	4
63	для него	3	4
64	читателя в	5	4
65	о жизни	3	4
66	не является	3	4
67	в своей	6	4
68	в ее	2	4
69	то же	7	4
70	уже не	3	4
71	в мире	5	4
72	и у	2	4
73	в рассказе	3	4
74	в этой	5	4
75	с ним	3	4
76	точку зрения	2	3
77	или даже	2	3
78	это не	7	3
79	в соответствии	4	3
80	соответствии с	4	3
81	что я	2	3
82	что они	4	3
83	одна из	3	3
84	но не	5	3
85	особое место	2	3
86	же время	7	3
87	и сам	5	3
88	в произведениях	2	3
89	характера и	3	3
90	один из	3	3
91	в целом	6	3
92	как по	2	3
93	все эти	4	3
94	самом деле	2	3
95	то у	2	3
96	и даже	5	3
97	и по	2	3
98	и его	9	3
99	в таком	3	3
100	с ними	2	3
101	с этой	3	3
102	между тем	3	3
103	действующих лиц	2	3
104	которой он	2	3
105	как правило	2	3
106	так сказать	2	3
107	едва ли	2	3
108	в принципе	4	2
109	он сам	3	2
110	зависит от	2	2
111	в душе	4	2
112	же как	3	2
113	по словам	2	2
114	личности в	2	2
115	восходит к	2	2
116	что у	4	2
117	превращается в	3	2
118	а во	2	2
119	своих героев	3	2
120	вовсе не	2	2
121	со своими	2	2
122	для автора	2	2
123	и т	13	2
124	в начале	3	2
125	с другим	2	2
126	к миру	2	2
127	как о	2	2
128	мы узнаем	2	2
129	еще не	5	2
130	и он	2	2
131	в самом	3	2
132	может служить	2	2
133	что она	4	2
134	на стороне	4	2
135	но зато	3	2
136	себя в	2	2
137	в процессе	2	2
138	давно уже	2	2
139	а с	3	2
140	если не	4	2
141	именно в	6	2
142	у нас	2	2
143	достоевского и	2	2
144	быть может	3	2
145	и что	2	2
146	главного героя	3	2
147	так же	5	2
148	роль в	2	2
149	мы не	4	2
150	это был	3	2
151	в чем	4	2
152	но это	5	2
153	не случайно	2	2
154	в виде	2	2
155	в своих	3	2
156	т п	2	2
157	говорить о	2	2
158	героя и	2	2
159	потому что	7	2
160	к которому	2	2
